movie,cast,Role
Ender's Game ,Moises Arias,actor
Endless Love ,Bruce Greenwood,actor
Enemy at the Gates ,Gabriel Thomson,actor
Enemy of the State ,Jake Busey,actor
Enough ,Jeff Kober,actor
Enough Said ,Ben Falcone,actor
Enter Nowhere ,Katherine Waterston,actor
Enter the Dangerous Mind ,David Bianchi,actor
Enter the Void ,Emily Alyn Lind,actor
Entourage             ,Kevin Connolly,actor
Entrapment ,Kevin McNally,actor
Envy ,Ariel Gade,actor
Epic ,Emma Kenney,actor
Epic Movie ,Carmen Electra,actor
Equilibrium ,Emily Watson,actor
Eragon ,Ed Speleers,actor
Eraser ,James Coburn,actor
Eraserhead ,Jack Nance,actor
Erin Brockovich ,Albert Finney,actor
Ernest & Celestine ,Megan Mullally,actor
Escape from Alcatraz ,Patrick McGoohan,actor
Escape from L.A. ,Valeria Golino,actor
Escape from New York ,Adrienne Barbeau,actor
Escape from Planet Earth ,Paul Scheer,actor
Escape from the Planet of the Apes ,M. Emmet Walsh,actor
Escape from Tomorrow ,Lee Armstrong,actor
Escape Plan ,50 Cent,actor
Escobar: Paradise Lost ,Brady Corbet,actor
Eternal Sunshine of the Spotless Mind ,Kirsten Dunst,actor
Eulogy ,Rip Torn,actor
Eureka             ,Colin Ferguson,actor
EuroTrip ,Scott Mechlowicz,actor
Evan Almighty ,Morgan Freeman,actor
Event Horizon ,Joely Richardson,actor
Ever After: A Cinderella Story ,Dougray Scott,actor
Everest ,Martin Henderson,actor
Everybody's Fine ,James Frain,actor
Everyone Says I Love You ,Gaby Hoffmann,actor
Everything Must Go ,Scott Takeda,actor
Everything Put Together ,Alan Ruck,actor
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask ,John Carradine,actor
Eve's Bayou ,Lynn Whitfield,actor
Evil Dead ,Elizabeth Blackmore,actor
Evil Dead II ,Dan Hicks,actor
Evita ,Jimmy Nail,actor
Evolution ,Roxane Duran,actor
Ex Machina ,Sonoya Mizuno,actor
Exam ,Luke Mably,actor
Excessive Force ,Ian Gomez,actor
Executive Decision ,Joe Morton,actor
Exeter ,Brittany Curran,actor
Exiled ,Anthony Chau-Sang Wong,actor
eXistenZ ,Sarah Polley,actor
Exit Wounds ,Bill Duke,actor
Exodus: Gods and Kings ,Mar?a Valverde,actor
Exodus: Gods and Kings ,Mar?a Valverde,actor
Exorcist II: The Heretic ,Richard Burton,actor
Exorcist: The Beginning ,Alan Ford,actor
Exotica ,Mia Kirshner,actor
Extract ,Mila Kunis,actor
Extraordinary Measures ,Brendan Fraser,actor
Extreme Measures ,Paul Guilfoyle,actor
Extreme Movie ,Denise Boutte,actor
Extreme Ops ,Bridgette Wilson-Sampras,actor
Extremely Loud & Incredibly Close ,Thomas Horn,actor
Eye for an Eye ,Beverly D'Angelo,actor
Eye of the Beholder ,Patrick Bergin,actor
Eye of the Dolphin ,Carly Schroeder,actor
Eye See You ,Tom Berenger,actor
Eyes Wide Shut ,Vinessa Shaw,actor
F.I.S.T. ,Peter Boyle,actor
Fabled ,Adam LeFevre,actor
Face/Off ,CCH Pounder,actor
Facing the Giants ,Erin Bethea,actor
Factory Girl ,Jimmy Fallon,actor
Fahrenheit 9/11 ,Stevie Wonder,actor
Failure to Launch ,Matthew McConaughey,actor
Fair Game ,Ty Burrell,actor
Faith Connections ,Pant Shirt Baba,actor
Faith Like Potatoes ,Frank Rautenbach,actor
Faithful ,Ryan O'Neal,actor
Falcon Rising ,Michael J. Morris,actor
Fame ,Kay Panabaker,actor
Family Plot ,Bruce Dern,actor
Fantasia ,Deems Taylor,actor
Fantasia 2000 ,Penn Jillette,actor
Fantastic 4: Rise of the Silver Surfer ,Ioan Gruffudd,actor
Fantastic Four ,Reg E. Cathey,actor
Fantastic Four ,Reg E. Cathey,actor
Fantastic Mr. Fox ,Meryl Streep,actor
Far from Heaven ,Celia Weston,actor
Far from Men ,Reda Kateb,actor
Farce of the Penguins ,John Stamos,actor
Fargo             ,Adam Goldberg,actor
Fascination ,Jacqueline Bisset,actor
Fast Five ,Vin Diesel,actor
Fast Times at Ridgemont High ,Judge Reinhold,actor
Faster ,Tom Berenger,actor
Fat Albert ,Nick Zano,actor
"Fat, Sick & Nearly Dead ",Joel Fuhrman,actor
Fatal Attraction ,Lois Smith,actor
Fateless ,P?ter Fancsikai,actor
Fear and Loathing in Las Vegas ,Michael Jeter,actor
Fear Clinic ,Kevin Gage,actor
Feardotcom ,Jeffrey Combs,actor
Feast ,Eric Dane,actor
Felicia's Journey ,Elaine Cassidy,actor
Femme Fatale ,Gregg Henry,actor
Fetching Cody ,Sarah Lind,actor
Fever Pitch ,KaDee Strickland,actor
Fiddler on the Roof ,Paul Michael Glaser,actor
Fido ,Henry Czerny,actor
Fifty Dead Men Walking ,Kevin Zegers,actor
Fifty Shades of Black ,Mike Epps,actor
Fifty Shades of Grey ,Luke Grimes,actor
Fight Club ,Meat Loaf,actor
Fight to the Finish ,Randy Jay Burrell,actor
Fight Valley ,Erin O'Brien,actor
Fighting Tommy Riley ,Eddie Jones,actor
Filly Brown ,Jenni Rivera,actor
Final Destination ,Brendan Fehr,actor
Final Destination 2 ,Michael Landes,actor
Final Destination 3 ,Gina Holden,actor
Final Destination 5 ,Jacqueline MacInnes Wood,actor
Final Fantasy: The Spirits Within ,Ming-Na Wen,actor
Find Me Guilty ,Vin Diesel,actor
Finding Forrester ,Rob Brown,actor
Finding Nemo ,Stephen Root,actor
Finding Neverland ,Kate Winslet,actor
Finishing the Game: The Search for a New Bruce Lee ,Jake Sandvig,actor
Fired Up             ,Mark Feuerstein,actor
Firefox ,Warren Clarke,actor
Fireproof ,Ken Bevel,actor
Firestarter ,George C. Scott,actor
Firestorm ,Michael Wong,actor
Firewall ,Harrison Ford,actor
First Blood ,Brian Dennehy,actor
First Blood ,Brian Dennehy,actor
First Knight ,Ben Cross,actor
"First Love, Last Rites ",Eli Marienthal,actor
Fish Tank ,Harry Treadaway,actor
Fiza ,Manoj Bajpayee,actor
Flags of Our Fathers ,Chris Bauer,actor
Flame and Citron ,Thure Lindhardt,actor
Flash Gordon ,William Hootkins,actor
Flash of Genius ,Bill Lake,actor
Flashdance ,Cynthia Rhodes,actor
Flatliners ,Oliver Platt,actor
Flawless ,Philip Seymour Hoffman,actor
Fled ,Stephen Baldwin,actor
Flicka ,Danny Pino,actor
Flight ,Bruce Greenwood,actor
Flight of the Intruder ,Dann Florek,actor
Flight of the Phoenix ,Tony Curran,actor
Flightplan ,Michael Irby,actor
Flipped ,Rebecca De Mornay,actor
Flipper ,Chelsea Field,actor
Flirting with Disaster ,Mary Tyler Moore,actor
Florence Foster Jenkins ,Nina Arianda,actor
Flubber ,Jodi Benson,actor
Flushed Away ,Kate Winslet,actor
Flyboys ,Tyler Labine,actor
Flying By ,Patricia Neal,actor
Flywheel ,Lisa Arnold,actor
Focus ,Adrian Martinez,actor
Food Chains ,Robert Kennedy Jr.,actor
"Food, Inc. ",Eric Schlosser,actor
Foodfight! ,Larry Miller,actor
Foolish ,Clifton Powell,actor
Fool's Gold ,Ray Winstone,actor
Footloose ,Chris Penn,actor
Footloose ,Chris Penn,actor
"For a Good Time, Call... ",Ari Graynor,actor
For Colored Girls ,Loretta Devine,actor
For Greater Glory: The True Story of Cristiada ,Eduardo Ver?stegui,actor
For Love of the Game ,Kelly Preston,actor
For Your Consideration ,Catherine O'Hara,actor
For Your Eyes Only ,Topol,actor
Force 10 from Navarone ,Carl Weathers,actor
Forget Me Not ,Chloe Bridges,actor
Forgetting Sarah Marshall ,Jack McBrayer,actor
Formula 51 ,Junix Inocian,actor
Forrest Gump ,Siobhan Fallon Hogan,actor
Forsaken ,Landon Liboiron,actor
Forsaken ,Landon Liboiron,actor
Fort McCoy ,Eric Stoltz,actor
Fortress ,Kurtwood Smith,actor
Forty Shades of Blue ,Jenny O'Hara,actor
Four Brothers ,Tony Nappo,actor
Four Christmases ,Robert Duvall,actor
Four Lions ,Riz Ahmed,actor
Four Rooms ,Alicia Witt,actor
Four Single Fathers ,Sarah Rafferty,actor
Four Weddings and a Funeral ,James Fleet,actor
Frailty ,Powers Boothe,actor
Frances Ha ,Grace Gummer,actor
Frankenweenie ,Catherine O'Hara,actor
Frat Party ,Lauren C. Mayhew,actor
Freakonomics ,James Ransone,actor
Freaky Deaky ,Michael Jai White,actor
Freaky Friday ,Julie Gonzalo,actor
Freddy Got Fingered ,Harland Williams,actor
Freddy vs. Jason ,Jason Ritter,actor
Freddy's Dead: The Final Nightmare ,Tom Arnold,actor
Free Birds ,Carlos Ponce,actor
Free State of Jones ,Donald Watkins,actor
Free Style ,Corbin Bleu,actor
Freedom ,David Rasche,actor
Freedom Writers ,Scott Glenn,actor
Freeheld ,Josh Charles,actor
Freeway ,Dan Hedaya,actor
Freeze Frame ,Lee Evans,actor
Frenzy ,Jean Marsh,actor
Frequency ,Andre Braugher,actor
Frida ,Roger Rees,actor
Friday ,John Witherspoon,actor
Friday After Next ,Mike Epps,actor
Friday Night Lights             ,Aimee Teegarden,actor
Friday the 13th Part 2 ,Adrienne King,actor
Friday the 13th Part III ,Dana Kimmell,actor
Friday the 13th Part VII: The New Blood ,Terry Kiser,actor
Friday the 13th Part VIII: Jason Takes Manhattan ,Peter Mark Richman,actor
Friday the 13th: A New Beginning ,Melanie Kinnaman,actor
Friday the 13th: The Final Chapter ,Tom Everett,actor
Friends with Benefits ,Justin Timberlake,actor
Friends with Money ,Marin Hinkle,actor
Fright Night ,Reid Ewing,actor
From a Whisper to a Scream ,Clu Gulager,actor
From Dusk Till Dawn ,Salma Hayek,actor
From Hell ,Jason Flemyng,actor
From Hell ,Jason Flemyng,actor
From Here to Eternity ,Donna Reed,actor
From Justin to Kelly ,Kelly Clarkson,actor
From Paris with Love ,Amber Rose Revah,actor
From Russia with Love ,Daniela Bianchi,actor
Frost/Nixon ,Clint Howard,actor
Frozen ,Maurice LaMarche,actor
Frozen River ,Michael O'Keefe,actor
Fruitvale Station ,Melonie Diaz,actor
Fuel ,Sheryl Crow,actor
Fugly ,Sana Saeed,actor
Full Frontal ,Enrico Colantoni,actor
Fun Size ,Jackson Nicoll,actor
Fun with Dick and Jane ,Richard Burgi,actor
Funny Games ,Siobhan Fallon Hogan,actor
Funny Ha Ha ,Kate Dollenmayer,actor
Funny People ,RZA,actor
Fur: An Imaginary Portrait of Diane Arbus ,Ty Burrell,actor
Furious 7 ,Paul Walker,actor
Furry Vengeance ,Brooke Shields,actor
Fury ,Logan Lerman,actor
Futuro Beach ,Clemens Schick,actor
G.I. Jane ,Demi Moore,actor
G.I. Joe: Retaliation ,Dwayne Johnson,actor
G.I. Joe: The Rise of Cobra ,Dennis Quaid,actor
Gabriela ,Sonia Braga,actor
Galaxina ,Avery Schreiber,actor
Galaxy Quest ,Enrico Colantoni,actor
Gamer ,Logan Lerman,actor
Gandhi ,Amrish Puri,actor
"Gandhi, My Father ",Bhoomika Chawla,actor
Gangs of New York ,Liam Neeson,actor
Gangster Squad ,Brandon Molale,actor
Gangster's Paradise: Jerusalema ,Kenneth Nkosi,actor
Garden State ,Michael Weston,actor
Garfield ,Mark Christopher Lawrence,actor
Garfield 2 ,Roger Rees,actor
Gattaca ,Xander Berkeley,actor
Gentleman's Agreement ,Celeste Holm,actor
Gentlemen Broncos ,Michael Angarano,actor
George and the Dragon ,Rollo Weeks,actor
George of the Jungle ,Abraham Benrubi,actor
George Washington ,Eddie Rouse,actor
Georgia Rule ,Zachary Gordon,actor
Gerry ,Casey Affleck,actor
Get Carter ,Miranda Richardson,actor
Get Hard ,Alison Brie,actor
Get Him to the Greek ,Mario Lopez,actor
Get Low ,Robert Duvall,actor
Get on the Bus ,Harry Lennix,actor
Get on Up ,Josh Hopkins,actor
Get Over It ,Kirsten Dunst,actor
Get Real             ,Jon Tenney,actor
Get Rich or Die Tryin' ,Bill Duke,actor
Get Shorty ,Rene Russo,actor
Get Smart ,Dwayne Johnson,actor
Getaway ,Paul Freeman,actor
Gettysburg ,William Morgan Sheppard,actor
G-Force ,Piper Mackenzie Harris,actor
Ghost ,Tony Goldwyn,actor
Ghost Dog: The Way of the Samurai ,Gano Grills,actor
Ghost Hunters             ,Steve Gonsalves,actor
Ghost Rider ,Matt Long,actor
Ghost Rider: Spirit of Vengeance ,Spencer Wilding,actor
Ghost Ship ,Ron Eldard,actor
Ghost Town ,Dequina Moore,actor
Ghost World ,Steve Buscemi,actor
Ghostbusters ,Kate McKinnon,actor
Ghostbusters ,Kate McKinnon,actor
Ghosts of Mars ,Clea DuVall,actor
Ghosts of Mississippi ,Virginia Madsen,actor
Gigli ,Lenny Venito,actor
Girl 6 ,Debi Mazar,actor
Girl House ,Adam DiMarco,actor
Girl with a Pearl Earring ,Colin Firth,actor
"Girl, Interrupted ",Clea DuVall,actor
Girls Gone Dead ,John McGlothlin,actor
Give Me Shelter ,Robert Davi,actor
Gladiator ,Connie Nielsen,actor
Glee: The 3D Concert Movie ,Heather Morris,actor
Glengarry Glen Ross ,Al Pacino,actor
Glitter ,Max Beesley,actor
Glory ,Morgan Freeman,actor
Glory ,Morgan Freeman,actor
Glory Road ,Austin Nichols,actor
Go ,Jay Mohr,actor
Go for It! ,Aimee Garcia,actor
Goal! The Dream Begins ,Kuno Becker,actor
Goddess of Love ,Monda Scott,actor
Gods and Generals ,Bruce Boxleitner,actor
Gods and Monsters ,Lynn Redgrave,actor
God's Not Dead 2 ,Robin Givens,actor
Gods of Egypt ,Elodie Yung,actor
Godsend ,Cameron Bright,actor
Godzilla 2000 ,Naomi Nishida,actor
Godzilla Resurgence ,Shin'ya Tsukamoto,actor
Godzilla Resurgence ,Shin'ya Tsukamoto,actor
Going the Distance ,Kelli Garner,actor
GoldenEye ,Joe Don Baker,actor
Goldfinger ,Gert Fr?be,actor
Gomorrah             ,Fortunato Cerlino,actor
Gone Girl ,Sela Ward,actor
Gone in Sixty Seconds ,Angelina Jolie Pitt,actor
Gone with the Wind ,George Reeves,actor
"Gone, Baby, Gone             ",Jenni 'Jwoww' Farley,actor
Good ,Jodie Whittaker,actor
Good Boy! ,Molly Shannon,actor
Good Bye Lenin! ,Chulpan Khamatova,actor
Good Deeds ,Phylicia Rashad,actor
Good Dick ,Martin Starr,actor
Good Intentions ,Luke Perry,actor
Good Kill ,Zo? Kravitz,actor
Good Luck Chuck ,Dan Fogler,actor
"Good Morning, Vietnam ",J.T. Walsh,actor
"Good Night, and Good Luck. ",Tate Donovan,actor
Good Will Hunting ,Matt Damon,actor
Goodfellas ,Mike Starr,actor
Goosebumps ,Dylan Minnette,actor
Goosebumps ,Dylan Minnette,actor
Gory Gory Hallelujah ,Sue Corcoran,actor
Gosford Park ,Bob Balaban,actor
Gossip ,Sharon Lawrence,actor
Gothika ,Charles S. Dutton,actor
Grabbers ,Richard Coyle,actor
Grace of Monaco ,Frank Langella,actor
Grace Unplugged ,Michael Welch,actor
Gracie ,John Doman,actor
Graduation Day ,Carmen Argenziano,actor
Gran Torino ,Dreama Walker,actor
Grand Theft Parsons ,Scott Adsit,actor
Grandma's Boy ,Joel David Moore,actor
Grave Encounters ,Sean Rogerson,actor
Gravity ,Basher Savage,actor
Grease ,Stockard Channing,actor
Green Lantern ,Temuera Morrison,actor
Green Room ,Mark Webber,actor
Green Street 3: Never Back Down ,Mark Wingett,actor
Green Zone ,Sean Huze,actor
Gremlins ,Harry Carey Jr.,actor
Gremlins 2: The New Batch ,Robert Picardo,actor
Gridiron Gang ,Jurnee Smollett-Bell,actor
Griff the Invisible ,Patrick Brammall,actor
Grindhouse ,Rosario Dawson,actor
Groove ,Ari Gold,actor
Grosse Pointe Blank ,Michael Cudlitz,actor
Groundhog Day ,Chris Elliott,actor
Growing Up Smith ,Jake Busey,actor
Grown Ups ,Adam Sandler,actor
Grown Ups 2 ,Adam Sandler,actor
Grudge Match ,Sylvester Stallone,actor
Guardians of the Galaxy ,Vin Diesel,actor
Guess Who ,Nicole Sullivan,actor
Guiana 1838 ,Rufus Graham,actor
Gulliver's Travels ,Catherine Tate,actor
Gun Shy ,Oliver Platt,actor
Gunless ,Callum Rennie,actor
H. ,Robin Bartlett,actor
Hachi: A Dog's Tale ,Sarah Roemer,actor
Hackers ,Fisher Stevens,actor
"Hail, Caesar! ",Channing Tatum,actor
Hairspray ,Elijah Kelley,actor
Half Baked ,Harland Williams,actor
Half Nelson ,Tristan Mack Wilds,actor
Half Past Dead ,Nia Peeples,actor
Hall Pass ,Larry Joe Campbell,actor
Halloween ,Donald Pleasence,actor
Halloween ,Donald Pleasence,actor
Halloween ,Donald Pleasence,actor
Halloween 4: The Return of Michael Myers ,Kathleen Kinmont,actor
Halloween 5 ,Tamara Glynn,actor
Halloween II ,Tyler Mane,actor
Halloween II ,Tyler Mane,actor
Halloween III: Season of the Witch ,Dan O'Herlihy,actor
Halloween: Resurrection ,Thomas Ian Nicholas,actor
Halloween: The Curse of Michael Myers ,Kim Darby,actor
Hamlet ,Brian Blessed,actor
Hamlet ,Brian Blessed,actor
Hamlet 2 ,Amy Poehler,actor
Hancock ,Charlize Theron,actor
Hands of Stone ,Jurnee Smollett-Bell,actor
Hang 'Em High ,Bruce Dern,actor
Hanging Up ,Celia Weston,actor
Hanna ,Vicky Krieps,actor
Hannah Montana: The Movie ,Vanessa Williams,actor
Hannibal             ,Scott Thompson,actor
Hannibal Rising ,Stephen Walters,actor
Hansel & Gretel Get Baked ,Lara Flynn Boyle,actor
Hansel & Gretel: Witch Hunters ,Derek Mears,actor
Happily N'Ever After ,George Carlin,actor
Happiness ,Jon Lovitz,actor
Happy Christmas ,Lena Dunham,actor
Happy Feet ,Hugh Jackman,actor
Happy Feet 2 ,Brad Pitt,actor
Happy Gilmore ,Kevin Nealon,actor
Happy Valley             ,James Norton,actor
"Happy, Texas ",Illeana Douglas,actor
Hard Candy ,G.J. Echternkamp,actor
Hard Rain ,Minnie Driver,actor
Hard to Be a God ,Yuriy Tsurilo,actor
Hardball ,D.B. Sweeney,actor
Hardflip ,Randy Wayne,actor
Harley Davidson and the Marlboro Man ,Tia Carrere,actor
Harlock: Space Pirate ,Y? Aoi,actor
Harold & Kumar Escape from Guantanamo Bay ,Eric Winter,actor
Harold & Kumar Go to White Castle ,Fred Willard,actor
Harper ,Robert Wagner,actor
Harriet the Spy ,Eartha Kitt,actor
Harrison Montgomery ,Melora Walters,actor
Harry Brown ,Jack O'Connell,actor
Harry Potter and the Chamber of Secrets ,Rupert Grint,actor
Harry Potter and the Deathly Hallows: Part I ,Toby Jones,actor
Harry Potter and the Deathly Hallows: Part II ,Dave Legeno,actor
Harry Potter and the Goblet of Fire ,Daniel Radcliffe,actor
Harry Potter and the Half-Blood Prince ,Daniel Radcliffe,actor
Harry Potter and the Order of the Phoenix ,Daniel Radcliffe,actor
Harry Potter and the Prisoner of Azkaban ,Gary Oldman,actor
Harry Potter and the Sorcerer's Stone ,Fiona Shaw,actor
Harsh Times ,Christian Bale,actor
Hart's War ,Cole Hauser,actor
Harvard Man ,Eric Stoltz,actor
Hatchet ,Kane Hodder,actor
Hav Plenty ,Robinne Lee,actor
Hayride ,Jeremy Sande,actor
Haywire ,Michael Fassbender,actor
He Got Game ,Milla Jovovich,actor
Head of State ,Dylan Baker,actor
Head Over Heels ,Ivana Milicevic,actor
Headhunters ,Synn?ve Macody Lund,actor
Heartbeeps ,Randy Quaid,actor
Heartbreakers ,Anne Bancroft,actor
Hearts in Atlantis ,Mika Boorem,actor
Heaven Is for Real ,Connor Corum,actor
Heavenly Creatures ,Jed Brophy,actor
Heaven's Gate ,Sam Waterston,actor
Heavy Metal ,Joe Flaherty,actor
Hedwig and the Angry Inch ,Miriam Shor,actor
Heist ,Joshua Mikel,actor
Heist ,Joshua Mikel,actor
Held Up ,Nia Long,actor
Heli ,Andrea Vergara,actor
Hellboy ,Rupert Evans,actor
Hellboy II: The Golden Army ,Iv?n Kamar?s,actor
Hellraiser ,Ashley Laurence,actor
Hell's Angels ,Marian Marsh,actor
Henry & Me ,Cyndi Lauper,actor
Henry V ,Derek Jacobi,actor
Her ,Brian Johnson,actor
Her Cry: La Llorona Investigation ,Ron Gelner,actor
Herbie Fully Loaded ,Thomas Lennon,actor
Hercules ,Rufus Sewell,actor
Hercules ,Rufus Sewell,actor
Here Comes the Boom ,Reggie Lee,actor
Here on Earth ,Chris Klein,actor
Hereafter ,Jay Mohr,actor
Hero ,Tony Chiu Wai Leung,actor
Hero ,Tony Chiu Wai Leung,actor
Heroes             ,Masi Oka,actor
Heroes of Dirt ,Bill Allen,actor
He's Just Not That Into You ,Sabrina Revelle,actor
Hesher ,Natalie Portman,actor
Hey Arnold! The Movie ,Vincent Schiavelli,actor
Hidalgo ,Viggo Mortensen,actor
Hidden Away ,Germ?n Alcarazu,actor
Hide and Seek ,Dylan Baker,actor
High Anxiety ,Harvey Korman,actor
High Crimes ,Adam Scott,actor
High Fidelity ,Lili Taylor,actor
High Heels and Low Lifes ,Danny Dyer,actor
High Noon ,Lloyd Bridges,actor
High Plains Drifter ,Richard Bull,actor
High Road ,Matt Jones,actor
High School Musical ,Corbin Bleu,actor
High School Musical 2 ,Corbin Bleu,actor
High School Musical 3: Senior Year ,Matt Prokop,actor
High Tension ,Ma?wenn,actor
Higher Ground ,Bill Irwin,actor
Highlander ,Jon Polito,actor
Highlander: Endgame ,Adrian Paul,actor
Highlander: The Final Dimension ,Mako,actor
Highway ,M.C. Gainey,actor
History of the World: Part I ,Sid Caesar,actor
History of the World: Part I ,Sid Caesar,actor
Hit and Run ,Tom Arnold,actor
Hit the Floor             ,Kimberly Elise,actor
Hitch ,Michael Rapaport,actor
Hitman ,Dougray Scott,actor
Hits ,Matt Walsh,actor
Hobo with a Shotgun ,Robb Wells,actor
Hocus Pocus ,Omri Katz,actor
Hoffa ,J.T. Walsh,actor
Holes ,Zane Holtz,actor
Hollow Man ,Kim Dickens,actor
Hollywood Ending ,Debra Messing,actor
Hollywood Homicide ,Bruce Greenwood,actor
Hollywood Shuffle ,Keenen Ivory Wayans,actor
Holy Man ,Morgan Fairchild,actor
Holy Motors ,Leos Carax,actor
Home ,Matt Jones,actor
Home ,Matt Jones,actor
Home ,Matt Jones,actor
Home Alone ,Devin Ratray,actor
Home Alone 2: Lost in New York ,Kieran Culkin,actor
Home for the Holidays ,Holly Hunter,actor
Home Fries ,Jake Busey,actor
Home Movies             ,Ron Lynch,actor
Home on the Range ,Roseanne Barr,actor
Home Run ,Drew Waters,actor
Homefront ,James Franco,actor
Honey ,Mekhi Phifer,actor
Hoodwinked Too! Hood vs. Evil ,Phil LaMarr,actor
Hoodwinked! ,Chazz Palminteri,actor
Hook ,Julia Roberts,actor
Hoop Dreams ,Arthur Agee,actor
Hoot ,Neil Flynn,actor
Hop ,Elizabeth Perkins,actor
Hope Floats ,Harry Connick Jr.,actor
Hope Springs ,Steve Carell,actor
Horrible Bosses ,Lindsay Sloane,actor
Horrible Bosses 2 ,Christoph Waltz,actor
Horse Camp ,Dana Blackstone,actor
Hostage ,Bruce Willis,actor
Hostel ,Takashi Miike,actor
Hostel: Part II ,Lauren German,actor
Hot Fuzz ,Joe Cornish,actor
Hot Pursuit ,Richard T. Jones,actor
Hot Rod ,Jorma Taccone,actor
Hot Tub Time Machine ,Collette Wolfe,actor
Hot Tub Time Machine 2 ,Gillian Jacobs,actor
Hotel for Dogs ,Kevin Dillon,actor
Hotel Rwanda ,Sophie Okonedo,actor
Hotel Transylvania ,Adam Sandler,actor
Hotel Transylvania 2 ,Adam Sandler,actor
House at the End of the Drive ,Jonathan Mangum,actor
House at the End of the Street ,Nolan Gerard Funk,actor
House of 1000 Corpses ,Matthew McGrory,actor
House of D ,Mark Margolis,actor
House of Flying Daggers ,Andy Lau,actor
House of Sand ,Seu Jorge,actor
House of Sand and Fog ,Kim Dickens,actor
House of Wax ,Paris Hilton,actor
House of Wax ,Paris Hilton,actor
House on Haunted Hill ,Peter Gallagher,actor
House Party 2 ,Tisha Campbell-Martin,actor
Housebound ,Bruce Hopkins,actor
Housefull ,Boman Irani,actor
How Do You Know ,Domenick Lombardozzi,actor
How Green Was My Valley ,Walter Pidgeon,actor
How High ,Fred Willard,actor
How She Move ,Cl? Bennett,actor
How Stella Got Her Groove Back ,James Pickens Jr.,actor
How the Grinch Stole Christmas ,T.J. Thyne,actor
How to Be a Player ,Gilbert Gottfried,actor
How to Be Single ,Damon Wayans Jr.,actor
How to Deal ,Alexandra Holden,actor
How to Fall in Love ,Gina Holden,actor
How to Lose a Guy in 10 Days ,Adam Goldberg,actor
How to Lose Friends & Alienate People ,Katherine Parkinson,actor
How to Train Your Dragon ,America Ferrera,actor
How to Train Your Dragon 2 ,Djimon Hounsou,actor
Howard the Duck ,Jeffrey Jones,actor
Howards End ,Vanessa Redgrave,actor
Howl's Moving Castle ,Blythe Danner,actor
Hud ,Melvyn Douglas,actor
Hudson Hawk ,James Coburn,actor
Hugo ,Christopher Lee,actor
Hulk ,Regi Davis,actor
Hum To Mohabbat Karega ,Bobby Deol,actor
Human Traffic ,John Simm,actor
Hurricane Streets ,Heather Matarazzo,actor
Hustle & Flow ,Paula Jai Parker,actor
I Am Legend ,Alice Braga,actor
I Am Love ,Waris Ahluwalia,actor
I Am Number Four ,Emily Wickersham,actor
I Am Sam ,Loretta Devine,actor
I Am Wrath ,Rebecca De Mornay,actor
I Can Do Bad All by Myself ,Mary J. Blige,actor
I Come with the Rain ,Sim?n Andreu,actor
I Don't Know How She Does It ,Busy Philipps,actor
I Dreamed of Africa ,Eva Marie Saint,actor
I Got the Hook Up ,Master P,actor
I Heart Huckabees ,Lily Tomlin,actor
I Hope They Serve Beer in Hell ,Susie Abromeit,actor
I Know What You Did Last Summer ,Sarah Michelle Gellar,actor
I Love You Phillip Morris ,Louis Herthum,actor
"I Love You, Beth Cooper ",Marie Avgeropoulos,actor
"I Love You, Don't Touch Me! ",Meredith Scott Lynn,actor
"I Love You, Man ",Jon Favreau,actor
I Love Your Work ,Marisa Coughlan,actor
I Married a Strange Person! ,Bill Martone,actor
I Origins ,Cara Seymour,actor
I Served the King of England ,Ivan Barnev,actor
I Spit on Your Grave ,Chad Lindberg,actor
I Spy ,Phill Lewis,actor
I Still Know What You Did Last Summer ,Mekhi Phifer,actor
I Think I Love My Wife ,Eliza Coupe,actor
I Want Someone to Eat Cheese With ,Jeff Garlin,actor
I Want Your Money ,Chris Cox,actor
"I, Frankenstein ",Kevin Grevioux,actor
"I, Robot ",Bruce Greenwood,actor
Ice Age ,Stephen Root,actor
Ice Age: Continental Drift ,Josh Gad,actor
Ice Age: Dawn of the Dinosaurs ,Maile Flanagan,actor
Ice Age: The Meltdown ,Ray Romano,actor
Ice Princess ,Trevor Blumas,actor
Ida ,Agata Trzebuchowska,actor
Identity ,Rebecca De Mornay,actor
Identity Thief ,Eric Stonestreet,actor
Idiocracy ,Patrick Fischler,actor
Idle Hands ,Fred Willard,actor
Idlewild ,Faizon Love,actor
If I Stay ,Mireille Enos,actor
Igby Goes Down ,Rory Culkin,actor
Iguana ,Jack Taylor,actor
Illuminata ,Ben Gazzara,actor
I'm Not There. ,Heath Ledger,actor
Imaginary Heroes ,Ryan Donowho,actor
Imagine Me & You ,Ben Miles,actor
Imagine That ,Ronny Cox,actor
Immortals ,Daniel Sharman,actor
Impact Point ,Kayla Ewell,actor
Impostor ,Mekhi Phifer,actor
In & Out ,Wilford Brimley,actor
In Bruges ,Anna Madeley,actor
In Cold Blood ,Robert Blake,actor
In Dreams ,Aidan Quinn,actor
In Good Company ,Ty Burrell,actor
In Her Line of Fire ,Mariel Hemingway,actor
In the Bedroom ,Sissy Spacek,actor
In the Company of Men ,Matt Malloy,actor
In the Cut ,Nick Damici,actor
In the Heart of the Sea ,Benjamin Walker,actor
