director_name,duration,actor_2_name,gross,actor_1_name,movie_title,num_voted_users,actor_3_name,language,country,budget,title_year,imdb_score,Action,Adventure,Fantasy,Sci-Fi,Thriller,Documentary,Family,Musical,Romance,Mystery,Western,Comedy,Sport,Horror,Drama,War,History,Animation,Biography,Crime
Rob Cohen,132,Eve,141204016,Vin Diesel,xXx?,142569,Leila Arcieri,English,USA,70000000,2002,5.8,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renny Harlin,116,Estella Warren,32616869,Sylvester Stallone,Driven?,34435,Cristi?n de la Fuente,English,USA,72000000,2001,4.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Leonard Nimoy,105,Nichelle Nichols,76400000,Leonard Nimoy,Star Trek III: The Search for Spock?,58743,Walter Koenig,English,USA,17000000,1984,6.6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Gaghan,128,Amr Waked,50815288,Matt Damon,Syriana?,109188,Kayvan Novak,English,USA,50000000,2005,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Stephen Gaghan,128,Amr Waked,50815288,Matt Damon,Syriana?,109191,Kayvan Novak,English,USA,50000000,2005,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Peter Yates,116,Alun Armstrong,,Liam Neeson,Krull?,23351,Lysette Anthony,English,UK,27000000,1983,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norman Jewison,145,Peter Boyle,,Sylvester Stallone,F.I.S.T.?,5561,Rod Steiger,English,USA,11000000,1978,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gabriele Muccino,123,Rosario Dawson,69951824,Will Smith,Seven Pounds?,232710,Madison Pettis,English,USA,55000000,2008,7.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Philip Kaufman,124,Stephen Marcus,7060876,Kate Winslet,Quills?,44795,Amelia Warner,English,UK,13500000,2000,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Matt Birch,,Toby Jones,,Rupert Grint,Harry Potter and the Deathly Hallows: Part I?,252,Alfred Enoch,English,UK,,2010,6.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
William Shatner,107,Nichelle Nichols,55210049,Leonard Nimoy,Star Trek V: The Final Frontier?,43743,Walter Koenig,English,USA,27800000,1989,5.4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rob Reiner,95,Tim Matheson,27067160,Bruce Willis,The Story of Us?,18404,Rita Wilson,English,USA,50000000,1999,5.9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Sydney Pollack,116,Sydney Pollack,177200000,Bill Murray,Tootsie?,77366,Teri Garr,English,USA,22000000,1982,7.4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
George Tillman Jr.,98,Tom Berenger,23225911,Dwayne Johnson,Faster?,80574,Mike Epps,English,USA,24000000,2010,6.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
John Maclean,84,Kodi Smit-McPhee,229094,Michael Fassbender,Slow West?,27650,Ben Mendelsohn,English,UK,,2015,6.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Richard Benjamin,105,Alyson Hannigan,13854000,Jon Lovitz,My Stepmother Is an Alien?,21079,Tony Jay,English,USA,20000000,1988,5.2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Francis Ford Coppola,103,Kathleen Turner,41382841,Nicolas Cage,Peggy Sue Got Married?,27149,Joan Allen,English,USA,18000000,1986,6.3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Michael Clancy,85,Rip Torn,70527,Zooey Deschanel,Eulogy?,7690,Kelly Preston,English,USA,6500000,2004,6.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Kenneth Lonergan,186,Kieran Culkin,46495,Matt Damon,Margaret?,12053,John Gallagher Jr.,English,USA,14000000,2011,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Doug Lefler,102,Nonso Anozie,5932060,Colin Firth,The Last Legion?,29285,Owen Teale,English,UK,35000000,2007,5.4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jonathan Wacks,93,Gary Farmer,,Steve Buscemi,Ed and His Dead Mother?,1435,Jon Gries,English,USA,1800000,1993,6.1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Jimmy Hayward,81,Billy Blair,10539414,Michael Fassbender,Jonah Hex?,45729,Julia Jones,English,USA,47000000,2010,4.7,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Rob Reiner,138,Demi Moore,141340178,Tom Cruise,A Few Good Men?,181879,Kevin Pollak,English,USA,40000000,1992,7.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rowan Joffe,92,Ben Crompton,2963012,Colin Firth,Before I Go to Sleep?,48873,Anne-Marie Duff,English,UK,22000000,2014,6.3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Chuck Russell,100,Roger Rees,90341670,Dwayne Johnson,The Scorpion King?,102129,Bernard Hill,English,USA,60000000,2002,5.5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wes Anderson,110,Anjelica Huston,52353636,Bill Murray,The Royal Tenenbaums?,209133,Seymour Cassel,English,USA,21000000,2001,7.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
George Nolfi,106,Michael Kelly,62453315,Matt Damon,The Adjustment Bureau?,200035,Jon Stewart,English,USA,50200000,2011,7.1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S.R. Bindler,85,Scott Glenn,36497,Matthew McConaughey,"Surfer, Dude?",7367,Sarah Wright,English,USA,6000000,2008,4.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Robert Altman,116,Jennifer Jason Leigh,1292527,Steve Buscemi,Kansas City?,3536,Miranda Richardson,English,France,19000000,1996,6.3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Peter MacDonald,87,Kurtwood Smith,53715611,Sylvester Stallone,Rambo III?,92106,Richard Crenna,English,USA,63000000,1988,5.7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Peter Jackson,108,Jed Brophy,3049135,Kate Winslet,Heavenly Creatures?,50197,Liz Mullane,English,New Zealand,5000000,1994,7.4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
Rawson Marshall Thurber,107,Thomas Kretschmann,126088877,Dwayne Johnson,Central Intelligence?,33354,Megan Park,English,USA,50000000,2016,6.6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
James Watkins,91,Jack O'Connell,5824,Michael Fassbender,Eden Lake?,57811,Lorraine Stanley,English,UK,,2008,6.8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chris Wedge,102,Emma Kenney,107515297,Josh Hutcherson,Epic?,85833,Troy Evans,English,USA,100000000,2013,6.7,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Gus Van Sant,106,Hal Holbrook,7556708,Matt Damon,Promised Land?,30284,Terry Kinney,English,USA,15000000,2012,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Demian Lichtenstein,125,Bokeem Woodbine,15738632,Jon Lovitz,3000 Miles to Graceland?,38076,Ice-T,English,USA,42000000,2001,5.9,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Stephen Daldry,124,David Kross,34180954,Kate Winslet,The Reader?,189812,Susanne Lothar,English,USA,32000000,2008,7.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Dan Trachtenberg,104,John Gallagher Jr.,71897215,Bradley Cooper,10 Cloverfield Lane?,126893,Sumalee Montano,English,USA,15000000,2016,7.3,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Andrea Di Stefano,120,Brady Corbet,106869,Josh Hutcherson,Escobar: Paradise Lost?,13762,Carlos Bardem,English,France,17000000,2014,6.6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Clark Johnson,117,Josh Charles,116643346,Jeremy Renner,S.W.A.T.?,119807,LL Cool J,English,USA,80000000,2003,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kevin Smith,107,Tracy Morgan,44867349,Bruce Willis,Cop Out?,75347,Kevin Pollak,English,USA,37000000,2010,5.6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Stephen Kay,102,Miranda Richardson,14967182,Sylvester Stallone,Get Carter?,27305,Lauren Lee Smith,English,USA,40000000,2000,5.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Oren Moverman,105,Yaya DaCosta,66637,Steve Buscemi,The Messenger?,29608,Eamonn Walker,English,USA,6500000,2009,7.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
Andrey Konchalovskiy,97,Jack Palance,63408614,Sylvester Stallone,Tango & Cash?,75365,Brion James,English,USA,55000000,1989,6.3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Oliver Stone,129,Jay Hernandez,70236496,Nicolas Cage,World Trade Center?,67395,Armando Riesco,English,USA,63000000,2006,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Steve Buscemi,95,Debi Mazar,695229,Steve Buscemi,Trees Lounge?,11369,Carol Kane,English,USA,1300000,1996,7.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Shari Springer Berman,101,James Urbaniak,6003587,Josh Hutcherson,American Splendor?,41999,Daniel Tay,English,USA,,2003,7.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Cory Edwards,80,Chazz Palminteri,51053787,Anne Hathaway,Hoodwinked!?,45900,Jim Belushi,English,USA,17500000,2005,6.5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
Atom Egoyan,96,Meghan Heffern,3074838,Liam Neeson,Chloe?,56264,Natalie Lisinska,English,USA,11000000,2009,6.3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Matt Reeves,130,Judy Greer,208543795,Gary Oldman,Dawn of the Planet of the Apes?,317542,Kodi Smit-McPhee,English,USA,170000000,2014,7.6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Michael Hoffman,109,Embeth Davidtz,14060950,Gabriel Millman,The Emperor's Club?,14354,Rob Morrow,English,USA,12500000,2002,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Clint Eastwood,129,Jay Mohr,32741596,Matt Damon,Hereafter?,80140,C?cile De France,English,USA,50000000,2010,6.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gary Fleder,115,Tony Goldwyn,60491560,Morgan Freeman,Kiss the Girls?,50653,Tatyana Ali,English,USA,27000000,1997,6.6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Bruce Malmuth,99,Lindsay Wagner,,Sylvester Stallone,Nighthawks?,12519,Persis Khambatta,English,USA,5000000,1981,6.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ben Affleck,150,Jon Hamm,92173235,Jeremy Renner,The Town?,280228,Owen Burke,English,USA,37000000,2010,7.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
William A. Graham,102,Wayne Pygram,2807854,Milla Jovovich,Return to the Blue Lagoon?,14129,Lisa Pelikan,English,USA,11000000,1991,5.1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Frederik Du Chau,86,Jaleel White,22717758,Gary Oldman,The Magic Sword: Quest for Camelot?,11156,Eric Idle,English,USA,40000000,1998,6.2,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
John McNaughton,115,Robert Wagner,29753944,Bill Murray,Wild Things?,90677,Jeff Perry,English,USA,20000000,1998,6.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
John McTiernan,128,Aldis Hodge,100012500,Bruce Willis,Die Hard with a Vengeance?,299258,Kevin Chamberlin,English,USA,90000000,1995,7.6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly Asbury,83,Charles Napier,73215310,Matt Damon,Spirit: Stallion of the Cimarron?,44143,Zahn McClarnon,English,USA,80000000,2002,7,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Michael Cimino,325,Sam Waterston,1500000,Jeff Bridges,Heaven's Gate?,9830,Isabelle Huppert,English,USA,44000000,1980,6.8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Sydney Pollack,154,Holly Hunter,158348400,Tom Cruise,The Firm?,88844,Wilford Brimley,English,USA,42000000,1993,6.8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Charles Martin Smith,113,Michael Roark,72279690,Morgan Freeman,Dolphin Tale?,17948,Harry Connick Jr.,English,USA,37000000,2011,6.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Michael Mann,165,Jada Pinkett Smith,58183966,Will Smith,Ali?,79186,Joe Morton,English,USA,107000000,2001,6.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Jeff Schaffer,93,Scott Mechlowicz,17718223,Matt Damon,EuroTrip?,162067,Jacob Pitts,English,USA,25000000,2004,6.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Phillip Noyce,141,Dean Jones,122012710,Harrison Ford,Clear and Present Danger?,69663,Raymond Cruz,English,USA,62000000,1994,6.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
M. Night Shyamalan,100,Zo? Kravitz,60522097,Will Smith,After Earth?,158720,Glenn Morshower,English,USA,130000000,2013,4.9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Helgeland,102,Mark Addy,7659747,Heath Ledger,The Order?,14962,Benno F?rmann,English,USA,38000000,2003,5.1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bryan Singer,121,Tom Wilkinson,83077470,Tom Cruise,Valkyrie?,183247,Thomas Kretschmann,English,USA,75000000,2008,7.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Jos? Padilha,117,Abbie Cornish,58607007,Gary Oldman,RoboCop?,182899,Jennifer Ehle,English,USA,100000000,2014,6.2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Paul Greengrass,108,Joan Allen,176049130,Matt Damon,The Bourne Supremacy?,348232,Oksana Akinshina,English,USA,75000000,2004,7.8,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jos? Padilha,117,Abbie Cornish,58607007,Gary Oldman,RoboCop?,182910,Jennifer Ehle,English,USA,100000000,2014,6.2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Patrick Lussier,101,Jaime King,51527787,Jensen Ackles,My Bloody Valentine?,45603,Edi Gathegi,English,USA,15000000,2009,5.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kevin Bray,86,Ashley Scott,45860039,Dwayne Johnson,Walking Tall?,53118,Michael Bowen,English,USA,56000000,2004,6.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
John H. Lee,115,Dean Dawson,31662,Liam Neeson,Operation Chromite?,90,Jung-jae Lee,English,South Korea,12620000,2016,6.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Christian Alvart,108,Dennis Quaid,10326062,Norman Reedus,Pandorum?,121432,Eddie Rouse,English,Germany,33000000,2009,6.8,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
James Marsh,123,Emily Watson,35887263,Eddie Redmayne,The Theory of Everything?,265507,Simon McBurney,English,UK,15000000,2014,7.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Donald Petrie,116,Adam Goldberg,105807520,Matthew McConaughey,How to Lose a Guy in 10 Days?,156717,Thomas Lennon,English,USA,50000000,2003,6.4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Garth Jennings,109,Kelly Macdonald,51019112,Zooey Deschanel,The Hitchhiker's Guide to the Galaxy?,155745,Thomas Lennon,English,USA,50000000,2005,6.8,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bobby Farrelly,118,Terence Bernie Hines,33828318,Matt Damon,Stuck on You?,44453,Seymour Cassel,English,USA,55000000,2003,5.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ron Shelton,116,Bruce Greenwood,30013346,Harrison Ford,Hollywood Homicide?,31293,Lena Olin,English,USA,75000000,2003,5.3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Andrew Dominik,97,Sam Shepard,14938570,Brad Pitt,Killing Them Softly?,111625,Ben Mendelsohn,English,USA,15000000,2012,6.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Chris Columbus,118,Rosario Dawson,88761720,Logan Lerman,Percy Jackson & the Olympians: The Lightning Thief?,141179,Steve Coogan,English,UK,95000000,2010,5.9,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Steven Johnson,123,Matt Long,115802596,Nicolas Cage,Ghost Rider?,182661,Peter Fonda,English,USA,110000000,2007,5.2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbet Schroeder,101,Michael Rapaport,14942422,Nicolas Cage,Kiss of Death?,14226,Philip Baker Hall,English,USA,40000000,1995,5.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Andy Fickman,98,Billy Brown,67128202,Dwayne Johnson,Race to Witch Mountain?,43328,Tom Everett Scott,English,USA,65000000,2009,5.7,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Scott,107,Robert Duvall,82670733,Tom Cruise,Days of Thunder?,60476,Randy Quaid,English,USA,60000000,1990,5.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Len Wiseman,129,Jonathan Sadowski,134520804,Bruce Willis,Live Free or Die Hard?,336235,Cyril Raffaelli,English,USA,110000000,2007,7.2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Nichols,130,Tye Sheridan,21589307,Matthew McConaughey,Mud?,135286,Sam Shepard,English,USA,10000000,2012,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Brad Furman,118,Margarita Levieva,57981889,Matthew McConaughey,The Lincoln Lawyer?,173848,Frances Fisher,English,USA,40000000,2011,7.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Barry Levinson,123,Br?an F. O'Byrne,41523271,Bruce Willis,Bandits?,57038,Azura Skye,English,USA,80000000,2001,6.6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
Barry Sonnenfeld,74,Janeane Garofalo,7262288,Zooey Deschanel,Big Trouble?,17307,Omar Epps,English,USA,40000000,2002,6.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Brad Silberling,114,Andre Braugher,78745923,Nicolas Cage,City of Angels?,94407,Colm Feore,English,Germany,55000000,1998,6.7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Charles Martin Smith,107,Taylor Blackwell,42019483,Morgan Freeman,Dolphin Tale 2?,6069,Harry Connick Jr.,English,USA,36000000,2014,6.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Ridley Scott,117,Sean Young,27000000,Harrison Ford,Blade Runner?,461609,M. Emmet Walsh,English,USA,28000000,1982,8.2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Lynch,124,Anne Bancroft,,Anthony Hopkins,The Elephant Man?,161972,Dexter Fletcher,English,USA,5000000,1980,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Andy Tennant,112,Ray Winstone,70224196,Matthew McConaughey,Fool's Gold?,59352,Alexis Dziena,English,USA,70000000,2008,5.6,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Frank Coraci,90,Clint Howard,161487252,Adam Sandler,The Waterboy?,119450,Peter Dante,English,USA,20000000,1998,6.1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Iain Softley,107,Fisher Stevens,7564000,Angelina Jolie Pitt,Hackers?,54650,Lorraine Bracco,English,USA,20000000,1995,6.2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Scott Hicks,101,Mika Boorem,24185781,Anthony Hopkins,Hearts in Atlantis?,30339,Hope Davis,English,USA,31000000,2001,6.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Werner Herzog,122,Shea Whigham,1697956,Nicolas Cage,Bad Lieutenant: Port of Call New Orleans?,64944,Shawn Hatosy,English,USA,20000000,2009,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Gary Ross,140,Michael Angarano,120147445,Jeff Bridges,Seabiscuit?,57661,Michael O'Neill,English,USA,87000000,2003,7.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
Gary Winick,89,Steve Howey,58715510,Anne Hathaway,Bride Wars?,79094,Candice Bergen,English,USA,30000000,2009,5.4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Yash Chopra,176,Katrina Kaif,3047539,Shah Rukh Khan,Jab Tak Hai Jaan?,42296,Vic Waghorn,Hindi,India,7217600,2012,6.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Paul Greengrass,115,Sean Huze,35024475,Matt Damon,Green Zone?,110364,Igal Naor,English,France,100000000,2010,6.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Paul Greengrass,123,Riz Ahmed,108521835,Matt Damon,Jason Bourne?,40123,Ato Essandoh,English,UK,120000000,2016,7.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Oz,93,Matthew Broderick,59475623,Jon Lovitz,The Stepford Wives?,49739,Roger Bart,English,USA,90000000,2004,5.2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kevin Spacey,97,Joe Mantegna,326308,Viggo Mortensen,Albino Alligator?,6632,Faye Dunaway,English,USA,5000000,1996,6.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Barbra Streisand,122,Austin Pendleton,41252428,Jeff Bridges,The Mirror Has Two Faces?,11453,Mimi Rogers,English,USA,42000000,1996,6.5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Marc Forster,112,Peter Boyle,31252964,Heath Ledger,Monster's Ball?,71495,Marcus Lyle Brown,English,USA,4000000,2001,7.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Peter Segal,113,Steve Reevis,158115031,Adam Sandler,The Longest Yard?,130070,Dalip Singh,English,USA,82000000,2005,6.4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Jon Turteltaub,131,Armando Riesco,173005002,Nicolas Cage,National Treasure?,255447,Annie Parisse,English,USA,100000000,2004,6.9,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
M. Night Shyamalan,91,Alan Ruck,64505912,Zooey Deschanel,The Happening?,163130,Kristen Connolly,English,USA,48000000,2008,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard Marquand,134,Ian McDiarmid,309125409,Harrison Ford,Star Wars: Episode VI - Return of the Jedi?,681857,Kenny Baker,English,USA,32500000,1983,8.4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garry Marshall,111,Hector Elizondo,108244774,Anne Hathaway,The Princess Diaries?,94049,Heather Matarazzo,English,USA,37000000,2001,6.2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Andrea Arnold,123,Harry Treadaway,373060,Michael Fassbender,Fish Tank?,47385,Jason Maza,English,UK,,2009,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Steven Soderbergh,106,Monique Gabriela Curnen,75638743,Matt Damon,Contagion?,180479,Griffin Kane,English,USA,60000000,2011,6.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Stephen Chbosky,102,Ezra Miller,17738570,Logan Lerman,The Perks of Being a Wallflower?,351274,Kate Walsh,English,USA,13000000,2012,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Mikael Salomon,97,Minnie Driver,19819494,Morgan Freeman,Hard Rain?,26893,Randy Quaid,English,USA,70000000,1998,5.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Joe Nussbaum,89,Alexa PenaVega,8070311,Steve Carell,Sleepover?,12706,Hunter Parrish,English,USA,10000000,2004,5.3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Richard Attenborough,115,James Frain,25842000,Anthony Hopkins,Shadowlands?,13455,Julian Fellowes,English,UK,22000000,1993,7.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Kyle Balda,91,Jon Hamm,336029560,Steve Carell,Minions?,142403,Steve Coogan,English,USA,74000000,2015,6.4,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Will Finn,76,Roseanne Barr,50026353,Steve Buscemi,Home on the Range?,13581,G.W. Bailey,English,USA,110000000,2004,5.4,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0
David Gordon Green,117,Tye Sheridan,371897,Nicolas Cage,Joe?,36494,Ronnie Gene Blevins,English,USA,4000000,2013,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Chris Butler,92,Kodi Smit-McPhee,55994557,Anna Kendrick,ParaNorman?,72287,Elaine Stritch,English,USA,60000000,2012,7,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Guy Hamilton,126,Carl Weathers,,Harrison Ford,Force 10 from Navarone?,13587,Franco Nero,English,UK,5000000,1978,6.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Jerry Dugan,92,Michael Aaron Milligan,,Melissa Bolona,Shark Lake?,838,James Chalke,English,USA,2000000,2015,3.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
