movie	title_year	duration	gross	imdb_score	budget
Dope 	2015	103	17474107	7.3	7000000
Double Impact 	1991	110	30102717	5.5	15000000
Double Jeopardy 	1999	105	116735231	6.4	70000000
Double Take 	2001	88	20218	5.3	24000000
Doubt 	2008	104	33422556	7.5	20000000
Doug's 1st Movie 	1999	77	19421271	5	5000000
Down and Out with the Dolls 	2001	88	58936	6.1	1200000
Down for Life 	2009	92		7.3	
Down in the Valley 	2005	108	568695	6.5	8000000
Down Terrace 	2009	93	9609	6.5	
Down to Earth 	2001	87	64172251	5.4	30000000
Down to You 	2000	91	20035310	4.9	9000000
Downfall 	2004	178	5501940	8.3	13500000
Dr. Dolittle 2 	2001	87	112950721	4.6	72000000
Dr. No 	1962	110	16067035	7.3	1100000
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb 	1964	95		8.5	1800000
Dracula 2000 	2000	99	33000377	4.9	28000000
Dracula Untold 	2014	92	55942830	6.3	70000000
Dracula: Pages from a Virgin's Diary 	2002	73	39659	7	1600000
Draft Day 	2014	110	28831145	6.8	25000000
Drag Me to Hell 	2009	99	42057340	6.6	30000000
Dragon Blade 	2015	103	72413	6.1	65000000
Dragon Hunters 	2008	80		6.6	11000000
Dragon Nest: Warriors' Dawn 	2014	88		6.4	40000000
Dragon Wars: D-War 	2007	107	10956379	3.6	35000000
Dragonball: Evolution 	2009	100	9353573	2.7	45000000
Dragonfly 	2002	104	30063805	6.1	60000000
DragonHeart 	1996	103	51317350	6.4	57000000
Dragonslayer 	1981	108	6000000	6.7	18000000
Dream House 	2011	84	21283440	6	55000000
Dream with the Fishes 	1997	97	464655	7	1000000
Dreamcatcher 	2003	136	33685268	5.5	68000000
Dreamer: Inspired by a True Story 	2005	98	32701088	6.9	32000000
Dreamgirls 	2006	130	103338338	6.5	70000000
Dreaming of Joseph Lees 	1999	92	7680	6.4	2000000
Dredd 	2012	95	13401683	7.1	35000000
Dredd 	2012	95	13401683	7.1	35000000
Dressed to Kill 	1980	104	31899000	7.1	6500000
Drillbit Taylor 	2008	102	32853640	5.7	40000000
Drinking Buddies 	2013	90	342936	6.1	
Drive 	2011	100	35054909	7.8	15000000
Drive Angry 	2011	104	10706786	5.5	50000000
Drive Hard 	2014	92		4.3	12000000
Drive Me Crazy 	1999	91	17843379	5.7	8000000
Driven 	2001	116	32616869	4.5	72000000
Driving Lessons 	2006	98	238774	6.8	
Driving Miss Daisy 	1989	99	106593296	7.4	7500000
Drop Dead Gorgeous 	1999	97	10561238	6.5	10000000
Drowning Mona 	2000	96	15427192	5.6	16000000
Drumline 	2002	118	56398162	5.7	20000000
Dry Spell 	2013	90		3.3	22000
"Dude, Where's My Car  "	2000	83	46729374	5.5	13000000
"Dude, Where's My Dog ! "	2014	82		3.2	20000
Dudley Do-Right 	1999	77	9694105	3.8	22000000
Due Date 	2010	95	100448498	6.6	65000000
Duel in the Sun 	1946	144	20400000	6.9	8000000
Duets 	2000	112	4734235	6	15000000
Dum Maaro Dum 	2011	128	563699	6.2	
Duma 	2005	100	860002	7.3	12000000
Dumb & Dumber 	1994	113	127175354	7.3	16000000
Dumb and Dumber To 	2014	109	86208010	5.7	35000000
Dumb and Dumberer: When Harry Met Lloyd 	2003	85	26096584	3.4	19000000
Dune 	1984	177	27400000	6.6	40000000
Dungeons & Dragons: Wrath of the Dragon God 	2005	105		4.9	15000000
Duplex 	2003	89	9652000	5.8	40000000
Duplicity 	2009	125	40559930	6.2	60000000
Dutch Kills 	2015	90		4.8	25000
Dwegons and Leprechauns 	2014	98		4.8	20000000
Dying of the Light 	2014	94		4.4	5000000
Dylan Dog: Dead of Night 	2010	107	1183354	5.1	20000000
Dysfunctional Friends 	2012	111		5.4	1800000
DysFunktional Family 	2003	89	2223990	6.6	3000000
E.T. the Extra-Terrestrial 	1982	120	434949459	7.9	10500000
Eagle Eye 	2008	118	101111837	6.6	80000000
Earth 	1998	110	528972	7.8	
Earth to Echo 	2014	91	38916903	5.8	13000000
East Is East 	1999	96	4170647	6.9	1900000
Eastern Promises 	2007	96	17114882	7.7	25000000
Easy A 	2010	92	58401464	7.1	8000000
Easy Money 	2010	124	188870	6.7	
Easy Virtue 	2008	97	2656324	6.7	
Eat Pray Love 	2010	140	80574010	5.7	60000000
Echo Dr. 	2013	81		3.6	100000
Ed and His Dead Mother 	1993	93		6.1	1800000
Ed Wood 	1994	127	5887457	7.9	18000000
Eddie the Eagle 	2016	106	15785632	7.5	23000000
Eddie the Eagle 	2016	106	15785632	7.5	23000000
Eddie: The Sleepwalking Cannibal 	2012	83	1521	5.7	1500000
Eden 	2015	90		4.8	
Eden Lake 	2008	91	5824	6.8	
Edge of Darkness 	2010	117	43290977	6.6	80000000
Edge of Tomorrow 	2014	113	100189501	7.9	178000000
Edmond 	2005	82	131617	6.3	10000000
Edtv 	1999	122	22362500	6.1	55000000
Edward Scissorhands 	1990	105	56362352	7.9	20000000
Eight Below 	2006	120	81593527	7.3	40000000
Eight Legged Freaks 	2002	99	17266505	5.4	30000000
El crimen del padre Amaro 	2002	118	5709616	6.8	1800000
El Mariachi 	1992	81	2040920	6.9	7000
Election 	1999	103	14879556	7.3	8000000
Elektra 	2005	100	24407944	4.8	43000000
Elf 	2003	97	173381405	6.9	33000000
Elite Squad 	2007	115	8060	8.1	4000000
Elizabeth 	1998	124	30012990	7.5	25000000
Elizabeth: The Golden Age 	2007	114	16264475	6.9	55000000
Elizabethtown 	2005	123	26838389	6.4	57000000
Ella Enchanted 	2004	96	22913677	6.3	35000000
Elling 	2001	89	313436	7.6	15500000
Elmer Gantry 	1960	146		7.9	3000000
Elsa & Fred 	2014	97		6.5	10000000
Elysium 	2013	109	93050117	6.6	115000000
Elza 	2011	78		6.7	900000
Emma             		240		8.2	
Empire             		42		7.8	
Employee of the Month 	2006	103	28435406	5.5	12000000
Enchanted 	2007	107	127706877	7.1	85000000
End of Days 	1999	121	66862068	5.7	83000000
End of the Spear 	2005	108	11703287	7	10000000
End of Watch 	2012	109	40983001	7.7	7000000
Ender's Game 	2013	114	61656849	6.7	110000000
Endless Love 	2014	104	23393765	6.3	20000000
Enemy at the Gates 	2001	131	51396781	7.6	68000000
Enemy of the State 	1998	140	111544445	7.3	90000000
Enough 	2002	115	39177215	5.6	38000000
Enough Said 	2013	93	17536788	7.1	8000000
Enter Nowhere 	2011	90		6.6	500000
Enter the Dangerous Mind 	2013	88		5.2	800000
Enter the Void 	2009	161	336467	7.3	13000000
Entourage             		28		8.5	
Entrapment 	1999	113	87704396	6.2	66000000
Envy 	2004	99	12181484	4.8	40000000
Epic 	2013	102	107515297	6.7	100000000
Epic Movie 	2007	93	39737645	2.3	20000000
Equilibrium 	2002	107	1190018	7.5	20000000
Eragon 	2006	104	75030163	5.1	100000000
Eraser 	1996	115	101228120	6.1	100000000
Eraserhead 	1977	89		7.4	20000
Erin Brockovich 	2000	131	125548685	7.3	52000000
Ernest & Celestine 	2012	80	71442	7.9	9600000
Escape from Alcatraz 	1979	112	36500000	7.6	8000000
Escape from L.A. 	1996	101	25407250	5.7	50000000
Escape from New York 	1981	106	25244700	7.2	6000000
Escape from Planet Earth 	2013	89	57011847	5.9	40000000
Escape from the Planet of the Apes 	1971	98		6.3	2500000
Escape from Tomorrow 	2013	90	169719	5.2	
Escape Plan 	2013	115	25121291	6.7	50000000
Escobar: Paradise Lost 	2014	120	106869	6.6	17000000
Eternal Sunshine of the Spotless Mind 	2004	108	34126138	8.3	20000000
Eulogy 	2004	85	70527	6.7	6500000
Eureka             		60		7.9	
EuroTrip 	2004	93	17718223	6.6	25000000
Evan Almighty 	2007	96	100289690	5.4	175000000
Event Horizon 	1997	130	26616590	6.7	60000000
Ever After: A Cinderella Story 	1998	121	65703412	7	26000000
Everest 	2015	121	43247140	7.1	55000000
Everybody's Fine 	2009	99	8855646	7.2	21000000
Everyone Says I Love You 	1996	101	9714482	6.8	20000000
Everything Must Go 	2010	97	2711210	6.4	5000000
Everything Put Together 	2000	87		6.6	100000
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask 	1972	88		6.8	2000000
Eve's Bayou 	1997	109	14821531	7.3	6000000
Evil Dead 	2013	96	54239856	6.5	17000000
Evil Dead II 	1987	37	5923044	7.8	3600000
Evita 	1996	135	49994804	6.3	55000000
Evolution 	2015	81		6.4	
Ex Machina 	2015	108	25440971	7.7	15000000
Exam 	2009	101		6.9	
Excessive Force 	1993	87	1200000	5.1	3000000
Executive Decision 	1996	133	68750000	6.4	55000000
Exeter 	2015	91		4.6	
Exiled 	2006	110	49413	7.3	35000000
eXistenZ 	1999	115	2840417	6.8	31000000
Exit Wounds 	2001	101	51758599	5.5	33000000
Exodus: Gods and Kings 	2014	150	65007045	6.1	140000000
Exodus: Gods and Kings 	2014	150	65007045	6.1	140000000
Exorcist II: The Heretic 	1977	118		3.7	14000000
Exorcist: The Beginning 	2004	125	41814863	5.1	50000000
Exotica 	1994	103	5132222	7.2	2000000
Extract 	2009	92	10814185	6.2	8000000
Extraordinary Measures 	2010	106	11854694	6.5	31000000
Extreme Measures 	1996	118	17305211	6.1	38000000
Extreme Movie 	2008	76		3.8	
Extreme Ops 	2002	93	4835968	4.5	40000000
Extremely Loud & Incredibly Close 	2011	129	31836745	6.9	40000000
Eye for an Eye 	1996	101	53146000	6.1	20000000
Eye of the Beholder 	1999	109	16459004	4.9	15000000
Eye of the Dolphin 	2006	100	71904	5.7	2500000
Eye See You 	2002	96		5.3	55000000
Eyes Wide Shut 	1999	159	55637680	7.3	65000000
F.I.S.T. 	1978	145		6.4	11000000
Fabled 	2002	84	25918	5.8	
Face/Off 	1997	138	112225777	7.3	80000000
Facing the Giants 	2006	111	10174663	6.7	100000
Factory Girl 	2006	99	1654367	6.4	7000000
Fahrenheit 9/11 	2004	122	119078393	7.5	6000000
Failure to Launch 	2006	95	88658172	5.6	50000000
Fair Game 	2010	108	9528092	6.8	22000000
Faith Connections 	2013	115		7	550000
Faith Like Potatoes 	2006	116		6.9	10000000
Faithful 	1996	91	2104000	5.9	13000000
Falcon Rising 	2014	103	8691	5.8	4500000
Fame 	2009	123	22452209	5	18000000
Family Plot 	1976	120		6.8	4490375
Fantasia 	1940	120	76400000	7.8	2280000
Fantasia 2000 	1999	74	60507228	7.3	80000000
Fantastic 4: Rise of the Silver Surfer 	2007	92	131920333	5.6	130000000
Fantastic Four 	2015	100	56114221	4.3	120000000
Fantastic Four 	2015	100	56114221	4.3	120000000
Fantastic Mr. Fox 	2009	87	20999103	7.8	40000000
Far from Heaven 	2002	107	15854988	7.4	13500000
Far from Men 	2014	101		7.3	7700000
Farce of the Penguins 	2006	80		4.2	
Fargo             		53		9	
Fascination 	2004	103	16066	3.3	5000000
Fast Five 	2011	132	209805005	7.3	125000000
Fast Times at Ridgemont High 	1982	90		7.2	4500000
Faster 	2010	98	23225911	6.5	24000000
Fat Albert 	2004	93	48114556	4.3	26000000
"Fat, Sick & Nearly Dead "	2010	97		7.6	2500000
Fatal Attraction 	1987	119	156645693	6.9	14000000
Fateless 	2005	134	195888	7.1	2500000000
Fear and Loathing in Las Vegas 	1998	118	10562387	7.7	18500000
Fear Clinic 	2015	95		5.2	1000000
Feardotcom 	2002	101	13208023	3.3	42000000
Feast 	2005	95		6.4	3200000
Felicia's Journey 	1999	116	819852	7	
Femme Fatale 	2002	114	6592103	6.3	35000000
Fetching Cody 	2005	87		6.8	1500000
Fever Pitch 	2005	104	42071069	6.2	30000000
Fiddler on the Roof 	1971	181	50000000	8	9000000
Fido 	2006	93	298110	6.8	8000000
Fifty Dead Men Walking 	2008	117		6.9	6000000
Fifty Shades of Black 	2016	92	11675178	3.5	5000000
Fifty Shades of Grey 	2015	129	166147885	4.1	40000000
Fight Club 	1999	151	37023395	8.8	63000000
Fight to the Finish 	2016	94		4	150000
Fight Valley 	2016	90		5	27000000
Fighting Tommy Riley 	2004	109	5199	6.6	200000
Filly Brown 	2012	80	2833383	5.7	427000
Final Destination 	2000	98	53302314	6.7	23000000
Final Destination 2 	2003	90	46455802	6.2	26000000
Final Destination 3 	2006	86	54098051	5.8	25000000
Final Destination 5 	2011	92	42575718	5.9	40000000
Final Fantasy: The Spirits Within 	2001	106	32131830	6.4	137000000
Find Me Guilty 	2006	125	1172769	7.1	13000000
Finding Forrester 	2000	136	51768623	7.3	43000000
Finding Nemo 	2003	100	380838870	8.2	94000000
Finding Neverland 	2004	101	51676606	7.8	25000000
Finishing the Game: The Search for a New Bruce Lee 	2007	84	52850	6.2	500000
Fired Up             		30		6.7	
Firefox 	1982	136	46700000	5.9	21000000
Fireproof 	2008	122	33451479	6.5	500000
Firestarter 	1984	114	15100000	6	15000000
Firestorm 	2013	118		6.2	
Firewall 	2006	105	48745150	5.8	50000000
First Blood 	1982	93		7.7	14000000
First Blood 	1982	93		7.7	14000000
First Knight 	1995	134	37600435	5.9	55000000
"First Love, Last Rites "	1997	94	40542	5.5	300000
Fish Tank 	2009	123	373060	7.3	
Fiza 	2000	167	610991	6.2	1000000
Flags of Our Fathers 	2006	135	33574332	7.1	90000000
Flame and Citron 	2008	45	145109	7.3	45000000
Flash Gordon 	1980	111		6.4	20000000
Flash of Genius 	2008	119	4234040	7	20000000
Flashdance 	1983	95	94900000	6.1	4000000
Flatliners 	1990	115	61490000	6.6	26000000
Flawless 	1999	112	4485485	6.4	15000000
Fled 	1996	105	17100000	5.3	25000000
Flicka 	2006	95	20998709	6.2	15000000
Flight 	2012	138	93749203	7.3	31000000
Flight of the Intruder 	1991	115	14587732	5.7	35000000
Flight of the Phoenix 	2004	113	21009180	6.1	45000000
Flightplan 	2005	98	89706988	6.2	55000000
Flipped 	2010	90	1752214	7.7	14000000
Flipper 	1996	95	20047715	5.2	25530000
Flirting with Disaster 	1996	92	14891000	6.8	7000000
Florence Foster Jenkins 	2016	110		7.1	29000000
Flubber 	1997	90	92969824	5.2	80000000
Flushed Away 	2006	85	64459316	6.7	149000000
Flyboys 	2006	140	13082288	6.6	60000000
Flying By 	2009	90		4.5	
Flywheel 	2003	120		6.9	20000
Focus 	2015	105	53846915	6.6	50100000
Food Chains 	2014	83		7.1	913000
"Food, Inc. "	2008	94	4417124	7.9	
Foodfight! 	2012	91		1.7	65000000
Foolish 	1999	84	6026908	4.3	2000000
Fool's Gold 	2008	112	70224196	5.6	70000000
Footloose 	1984	107	80000000	6.5	8200000
Footloose 	1984	107	80000000	6.5	8200000
"For a Good Time, Call... "	2012	88	1243961	6	850000
For Colored Girls 	2010	133	37721949	6	
For Greater Glory: The True Story of Cristiada 	2012	145	5669081	6.6	10818775
For Love of the Game 	1999	137	35168395	6.5	50000000
For Your Consideration 	2006	86	5542025	6.3	12000000
For Your Eyes Only 	1981	127	62300000	6.8	28000000
Force 10 from Navarone 	1978	126		6.3	5000000
Forget Me Not 	2009	103		5.2	1300000
Forgetting Sarah Marshall 	2008	118	62877175	7.2	30000000
Formula 51 	2001	93	5204007	6.3	28000000
Forrest Gump 	1994	142	329691196	8.8	55000000
Forsaken 	2015	90		6.3	11000000
Forsaken 	2015	90		6.3	11000000
Fort McCoy 	2011	100	73678	5.9	3000000
Fortress 	1992	95	6739141	5.9	8000000
Forty Shades of Blue 	2005	108		6	1500000
Four Brothers 	2005	109	74484168	6.9	45000000
Four Christmases 	2008	88	120136047	5.6	80000000
Four Lions 	2010	97	304137	7.3	
Four Rooms 	1995	110	4301331	6.7	4000000
Four Single Fathers 	2009	100		5.1	3000000
Four Weddings and a Funeral 	1994	117	52700832	7.1	4500000
Frailty 	2001	100	13103828	7.3	11000000
Frances Ha 	2012	86	4063238	7.4	
Frankenweenie 	2012	87	35287788	7	39000000
Frat Party 	2009	90		2.8	1000000
Freakonomics 	2010	93	100675	6.4	3000000
Freaky Deaky 	2012	90		6.5	6000000
Freaky Friday 	2003	97	110222438	6.1	26000000
Freddy Got Fingered 	2001	87	14249005	4.5	15000000
Freddy vs. Jason 	2003	97	82163317	5.8	30000000
Freddy's Dead: The Final Nightmare 	1991	93	34872293	4.9	8500000
Free Birds 	2013	91	55747724	5.9	55000000
Free State of Jones 	2016	139	20389967	6.7	50000000
Free Style 	2008	94	140987	4.2	
Freedom 	2014	94		6.2	14500000
Freedom Writers 	2007	123	36581633	7.5	21000000
Freeheld 	2015	103	532988	6.5	7000000
Freeway 	1996	102		6.9	3000000
Freeze Frame 	2004	99		6.4	2000000
Frenzy 	1972	116		7.5	2000000
Frequency 	2000	118	44983704	7.3	31000000
Frida 	2002	123	25776062	7.4	12000000
Friday 	1995	97	27900000	7.3	3500000
Friday After Next 	2002	85	32983713	5.8	20000000
Friday Night Lights             		44		8.7	
Friday the 13th Part 2 	1981	87	19100000	6.1	1250000
Friday the 13th Part III 	1982	91	36200000	5.7	4000000
Friday the 13th Part VII: The New Blood 	1988	88	19170001	5.3	2800000
Friday the 13th Part VIII: Jason Takes Manhattan 	1989	100	14343976	4.5	5000000
Friday the 13th: A New Beginning 	1985	92	21300000	4.7	2200000
Friday the 13th: The Final Chapter 	1984	97	32600000	5.9	1800000
Friends with Benefits 	2011	109	55802754	6.6	35000000
Friends with Money 	2006	88	13367101	5.9	6500000
Fright Night 	2011	106	18298649	6.4	30000000
From a Whisper to a Scream 	1987	92	1400000	5.9	1100000
From Dusk Till Dawn 	1996	108	25753840	7.3	19000000
From Hell 	2001	122	31598308	6.8	35000000
From Hell 	2001	122	31598308	6.8	35000000
From Here to Eternity 	1953	118		7.8	1650000
From Justin to Kelly 	2003	90	4922166	2.1	12000000
From Paris with Love 	2010	92	23324666	6.5	52000000
From Russia with Love 	1963	115	24800000	7.5	2000000
Frost/Nixon 	2008	122	18593156	7.7	35000000
Frozen 	2013	102	400736600	7.6	150000000
Frozen River 	2008	97	2508841	7.2	1000000
Fruitvale Station 	2013	85	16097842	7.5	900000
Fuel 	2008	112	173783	7.6	2500000
Fugly 	2014	134		4.7	
Full Frontal 	2002	101	2506446	4.7	2000000
Fun Size 	2012	86	9402410	5.4	14000000
Fun with Dick and Jane 	2005	90	110332737	6.1	100000000
Funny Games 	2007	111	1294640	6.5	15000000
Funny Ha Ha 	2002	85		6.4	
Funny People 	2009	153	51814190	6.4	75000000
Fur: An Imaginary Portrait of Diane Arbus 	2006	122	220914	6.5	16800000
Furious 7 	2015	140	350034110	7.2	190000000
Furry Vengeance 	2010	92	17596256	3.8	35000000
Fury 	2014	134	85707116	7.6	68000000
Futuro Beach 	2014	106	20262	6.1	4000000
G.I. Jane 	1997	125	48154732	5.8	50000000
G.I. Joe: Retaliation 	2013	122	122512052	5.8	130000000
G.I. Joe: The Rise of Cobra 	2009	118	150167630	5.8	175000000
Gabriela 	1983	99		6.4	
Galaxina 	1980	95		3.4	
Galaxy Quest 	1999	102	71423726	7.3	45000000
Gamer 	2009	95	20488579	5.8	50000000
Gandhi 	1982	240		8.1	22000000
"Gandhi, My Father "	2007	136	240425	7.4	
Gangs of New York 	2002	216	77679638	7.5	100000000
Gangster Squad 	2013	113	45996718	6.7	60000000
Gangster's Paradise: Jerusalema 	2008	119	4958	7.8	2000000
Garden State 	2004	102	26781723	7.6	2500000
Garfield 	2004	80	75367693	5	35000000
Garfield 2 	2006	86	28424210	5	
Gattaca 	1997	106	12339633	7.8	36000000
Gentleman's Agreement 	1947	118		7.4	2000000
Gentlemen Broncos 	2009	89	113155	6.1	
George and the Dragon 	2004	93		5.7	32000000
George of the Jungle 	1997	92	105263257	5.4	55000000
George Washington 	2000	90	241816	7.5	42000
Georgia Rule 	2007	113	18882880	5.9	20000000
Gerry 	2002	103	236266	6.2	3500000
Get Carter 	2000	102	14967182	5.1	40000000
Get Hard 	2015	107	90353764	6	40000000
Get Him to the Greek 	2010	114	60923325	6.4	
Get Low 	2009	100	9176553	7.1	7500000
Get on the Bus 	1996	120	5731103	6.8	2400000
Get on Up 	2014	139	30513940	6.9	30000000
Get Over It 	2001	87	11560259	5.8	22000000
Get Real             		60		7.3	
Get Rich or Die Tryin' 	2005	117	30981850	5	40000000
Get Shorty 	1995	105	72077000	6.9	30250000
Get Smart 	2008	110	130313314	6.5	80000000
Getaway 	2013	90	10494494	4.4	18000000
Gettysburg 	1993	271	10769960	7.7	25000000
G-Force 	2009	88	119420252	5.1	150000000
Ghost 	1990	127	217631306	7	22000000
Ghost Dog: The Way of the Samurai 	1999	116	3300230	7.5	
Ghost Hunters             		60		6.6	
Ghost Rider 	2007	123	115802596	5.2	110000000
Ghost Rider: Spirit of Vengeance 	2011	96	51774002	4.3	57000000
Ghost Ship 	2002	91	30079316	5.5	35000000
Ghost Town 	2008	102	13214030	6.7	20000000
Ghost World 	2001	111	6200756	7.4	7000000
Ghostbusters 	2016	116	118099659	5.5	144000000
Ghostbusters 	2016	116	118099659	5.5	144000000
Ghosts of Mars 	2001	98	8434601	4.9	28000000
Ghosts of Mississippi 	1996	130	13052741	6.7	36000000
Gigli 	2003	121	5660084	2.4	54000000
Girl 6 	1996	108	4903000	5	12000000
Girl House 	2014	99		5.5	3150000
Girl with a Pearl Earring 	2003	100	11634362	7	
"Girl, Interrupted "	1999	127	28871190	7.3	24000000
Girls Gone Dead 	2012	104		3.5	500000
Give Me Shelter 	2014	90		8	250000
Gladiator 	2000	171	187670866	8.5	103000000
Glee: The 3D Concert Movie 	2011	84	11860839	5.4	9000000
Glengarry Glen Ross 	1992	100	10725228	7.8	12500000
Glitter 	2001	104	4273372	2.1	22000000
Glory 	1989	122	26830000	7.9	18000000
Glory 	1989	122	26830000	7.9	18000000
Glory Road 	2006	118	42643187	7.2	
Go 	1999	102	16842303	7.3	6500000
Go for It! 	2011	105	178739	3.9	2450000
Goal! The Dream Begins 	2005	118	4280577	6.8	10000000
Goddess of Love 	2015	93		5.4	
Gods and Generals 	2003	280	12870569	6.3	56000000
Gods and Monsters 	1998	105	6390032	7.5	3500000
God's Not Dead 2 	2016	120	20773070	3.4	5000000
Gods of Egypt 	2016	126	31141074	5.5	140000000
Godsend 	2004	102	14334645	4.8	25000000
Godzilla 2000 	1999	99	10037390	6	1000000000
Godzilla Resurgence 	2016	120		8.2	
Godzilla Resurgence 	2016	120		8.2	
Going the Distance 	2010	102	17797316	6.3	32000000
GoldenEye 	1995	130	106635996	7.2	58000000
Goldfinger 	1964	110	51100000	7.8	3000000
Gomorrah             		55		8.7	
Gone Girl 	2014	149	167735396	8.1	61000000
Gone in Sixty Seconds 	2000	127	101643008	6.5	90000000
Gone with the Wind 	1939	226	198655278	8.2	3977000
"Gone, Baby, Gone             "		43		6.6	
Good 	2008	92	23091	6.2	15000000
Good Boy! 	2003	87	37566230	5.1	17000000
Good Bye Lenin! 	2003	121	4063859	7.7	4800000
Good Deeds 	2012	110	35010192	5.4	
Good Dick 	2008	86	15542	6.5	
Good Intentions 	2010	84		5.2	10000000
Good Kill 	2014	102	316842	6.4	
Good Luck Chuck 	2007	101	35000629	5.6	25000000
"Good Morning, Vietnam "	1987	121	123922370	7.3	13000000
"Good Night, and Good Luck. "	2005	93	31501218	7.5	7500000
Good Will Hunting 	1997	126	138339411	8.3	10000000
Goodfellas 	1990	146	46836394	8.7	25000000
Goosebumps 	2015	103	80021740	6.4	58000000
Goosebumps 	2015	103	80021740	6.4	58000000
Gory Gory Hallelujah 	2003	96	11798	4.7	100000
Gosford Park 	2001	131	41300105	7.3	19800000
Gossip 	2000	90	5108820	5.9	24000000
Gothika 	2003	98	59588068	5.8	40000000
Grabbers 	2012	94		6.3	4000000
Grace of Monaco 	2014	103		5.7	30000000
Grace Unplugged 	2013	102	2507106	6.1	
Gracie 	2007	95	2955039	6.2	9000000
Graduation Day 	1981	96		4.5	250000
Gran Torino 	2008	116	148085755	8.2	33000000
Grand Theft Parsons 	2003	88		6.1	
Grandma's Boy 	2006	90	6088249	7	
Grave Encounters 	2011	92		6.1	100000
Gravity 	2013	91	274084951	7.8	100000000
Grease 	1978	110	181360000	7.2	6000000
Green Lantern 	2011	123	116593191	5.6	200000000
Green Room 	2015	95	3219029	7.1	5000000
Green Street 3: Never Back Down 	2013	93		5.4	
Green Zone 	2010	115	35024475	6.9	100000000
Gremlins 	1984	106	148170000	7.2	11000000
Gremlins 2: The New Batch 	1990	106	41482207	6.3	50000000
Gridiron Gang 	2006	125	38432823	6.9	30000000
Griff the Invisible 	2010	90		6.1	
Grindhouse 	2007	189	25031037	7.6	53000000
Groove 	2000	86	1114943	6.5	500000
Grosse Pointe Blank 	1997	107	28014536	7.4	15000000
Groundhog Day 	1993	101	70906973	8.1	14600000
Growing Up Smith 	2015	102		8.2	2000000
Grown Ups 	2010	102	162001186	6	80000000
Grown Ups 2 	2013	101	133668525	5.4	80000000
Grudge Match 	2013	113	29802761	6.4	40000000
Guardians of the Galaxy 	2014	121	333130696	8.1	170000000
Guess Who 	2005	105	67962333	5.9	35000000
Guiana 1838 	2004	120	227241	7.4	
Gulliver's Travels 	2010	85	42776259	4.9	112000000
Gun Shy 	2000	101	1631839	5.7	10000000
Gunless 	2010	89		6.5	10000000
H. 	2014	93		6.3	
Hachi: A Dog's Tale 	2009	93		8.1	16000000
Hackers 	1995	107	7564000	6.2	20000000
"Hail, Caesar! "	2016	106	29997095	6.4	22000000
Hairspray 	2007	117	118823091	6.7	75000000
Half Baked 	1998	82	17278980	6.7	8000000
Half Nelson 	2006	106	2694973	7.2	700000
Half Past Dead 	2002	98	15361537	4.6	13000000
Hall Pass 	2011	111	45045037	5.9	36000000
Halloween 	1978	101	47000000	7.9	300000
Halloween 	1978	101	47000000	7.9	300000
Halloween 	1978	101	47000000	7.9	300000
Halloween 4: The Return of Michael Myers 	1988	88	17768000	5.9	5000000
Halloween 5 	1989	96	11642254	5.2	3000000
Halloween II 	2009	119	33386128	4.9	15000000
Halloween II 	2009	119	33386128	4.9	15000000
Halloween III: Season of the Witch 	1982	98	14400000	4.6	2500000
Halloween: Resurrection 	2002	94	30259652	4.1	15000000
Halloween: The Curse of Michael Myers 	1995	93	15126948	4.9	5000000
Hamlet 	1996	150	4414535	7.8	18000000
Hamlet 	1996	150	4414535	7.8	18000000
Hamlet 2 	2008	92	4881867	6.4	9000000
Hancock 	2008	102	227946274	6.4	150000000
Hands of Stone 	2016	105		7.2	20000000
Hang 'Em High 	1968	114		7	1800000
Hanging Up 	2000	94	36037909	4.7	60000000
Hanna 	2011	111	40247512	6.8	30000000
Hannah Montana: The Movie 	2009	102	79566871	4.2	30000000
Hannibal             		44		8.6	
Hannibal Rising 	2007	131	27667947	6.2	50000000
Hansel & Gretel Get Baked 	2013	86		4.3	4500000
Hansel & Gretel: Witch Hunters 	2013	98	55682070	6.1	50000000
Happily N'Ever After 	2006	75	15519841	4.5	47000000
Happiness 	1998	134	3000000	7.8	3000000
Happy Christmas 	2014	82	30084	5.6	70000
Happy Feet 	2006	108	197992827	6.5	100000000
Happy Feet 2 	2011	100	63992328	5.9	135000000
Happy Gilmore 	1996	92	38624000	7	12000000
Happy Valley             		58		8.5	
"Happy, Texas "	1999	98	1943649	6.3	1700000
Hard Candy 	2005	104	1007962	7.1	950000
Hard Rain 	1998	97	19819494	5.8	70000000
Hard to Be a God 	2013	177		6.7	7000000
Hardball 	2001	106	40219708	6.3	21000000
Hardflip 	2012	112	96734	5.6	1000000
Harley Davidson and the Marlboro Man 	1991	98	7434726	6	23000000
Harlock: Space Pirate 	2013	115		6.5	30000000
Harold & Kumar Escape from Guantanamo Bay 	2008	102	38087366	6.6	12000000
Harold & Kumar Go to White Castle 	2004	88	18225165	7.1	9000000
Harper 	1966	121		7	3500000
Harriet the Spy 	1996	100	26539321	5.9	13000000
Harrison Montgomery 	2008	95		7.4	850000
Harry Brown 	2009	97	1818681	7.2	7300000
Harry Potter and the Chamber of Secrets 	2002	174	261970615	7.4	100000000
Harry Potter and the Deathly Hallows: Part I 	2010			6.4	
