movie,Cast,Role
Dreamcatcher ,Lawrence Kasdan,Director
Dreamer: Inspired by a True Story ,John Gatins,Director
Dreamgirls ,Bill Condon,Director
Dreaming of Joseph Lees ,Eric Styles,Director
Dredd ,Pete Travis,Director
Dredd ,Pete Travis,Director
Dressed to Kill ,Brian De Palma,Director
Drillbit Taylor ,Steven Brill,Director
Drinking Buddies ,Joe Swanberg,Director
Drive ,Nicolas Winding Refn,Director
Drive Angry ,Patrick Lussier,Director
Drive Hard ,Brian Trenchard-Smith,Director
Drive Me Crazy ,John Schultz,Director
Driven ,Renny Harlin,Director
Driving Lessons ,Jeremy Brock,Director
Driving Miss Daisy ,Bruce Beresford,Director
Drop Dead Gorgeous ,Michael Patrick Jann,Director
Drowning Mona ,Nick Gomez,Director
Drumline ,Charles Stone III,Director
Dry Spell ,Travis Legge,Director
"Dude, Where's My Car  ",Danny Leiner,Director
"Dude, Where's My Dog ! ",Stephen Langford,Director
Dudley Do-Right ,Hugh Wilson,Director
Due Date ,Todd Phillips,Director
Duel in the Sun ,King Vidor,Director
Duets ,Bruce Paltrow,Director
Dum Maaro Dum ,Rohan Sippy,Director
Duma ,Carroll Ballard,Director
Dumb & Dumber ,Peter Farrelly,Director
Dumb and Dumber To ,Bobby Farrelly,Director
Dumb and Dumberer: When Harry Met Lloyd ,Troy Miller,Director
Dune ,David Lynch,Director
Dungeons & Dragons: Wrath of the Dragon God ,Gerry Lively,Director
Duplex ,Danny DeVito,Director
Duplicity ,Tony Gilroy,Director
Dutch Kills ,Joseph Mazzella,Director
Dwegons and Leprechauns ,Tom Walsh,Director
Dying of the Light ,Paul Schrader,Director
Dylan Dog: Dead of Night ,Kevin Munroe,Director
Dysfunctional Friends ,Corey Grant,Director
DysFunktional Family ,George Gallo,Director
E.T. the Extra-Terrestrial ,Steven Spielberg,Director
Eagle Eye ,D.J. Caruso,Director
Earth ,Deepa Mehta,Director
Earth to Echo ,Dave Green,Director
East Is East ,Damien O'Donnell,Director
Eastern Promises ,David Cronenberg,Director
Easy A ,Will Gluck,Director
Easy Money ,Daniel Espinosa,Director
Easy Virtue ,Stephan Elliott,Director
Eat Pray Love ,Ryan Murphy,Director
Echo Dr. ,Patrick Ryan Sims,Director
Ed and His Dead Mother ,Jonathan Wacks,Director
Ed Wood ,Tim Burton,Director
Eddie the Eagle ,Dexter Fletcher,Director
Eddie the Eagle ,Dexter Fletcher,Director
Eddie: The Sleepwalking Cannibal ,Boris Rodriguez,Director
Eden ,Shyam Madiraju,Director
Eden Lake ,James Watkins,Director
Edge of Darkness ,Martin Campbell,Director
Edge of Tomorrow ,Doug Liman,Director
Edmond ,Stuart Gordon,Director
Edtv ,Ron Howard,Director
Edward Scissorhands ,Tim Burton,Director
Eight Below ,Frank Marshall,Director
Eight Legged Freaks ,Ellory Elkayem,Director
El crimen del padre Amaro ,Carlos Carrera,Director
El Mariachi ,Robert Rodriguez,Director
Election ,Alexander Payne,Director
Elektra ,Rob Bowman,Director
Elf ,Jon Favreau,Director
Elite Squad ,Jos? Padilha,Director
Elizabeth ,Shekhar Kapur,Director
Elizabeth: The Golden Age ,Shekhar Kapur,Director
Elizabethtown ,Cameron Crowe,Director
Ella Enchanted ,Tommy O'Haver,Director
Elling ,Petter N?ss,Director
Elmer Gantry ,Richard Brooks,Director
Elsa & Fred ,Michael Radford,Director
Elysium ,Neill Blomkamp,Director
Elza ,Mariette Monpierre,Director
Employee of the Month ,Greg Coolidge,Director
Enchanted ,Kevin Lima,Director
End of Days ,Peter Hyams,Director
End of the Spear ,Jim Hanon,Director
End of Watch ,David Ayer,Director
Ender's Game ,Gavin Hood,Director
Endless Love ,Shana Feste,Director
Enemy at the Gates ,Jean-Jacques Annaud,Director
Enemy of the State ,Tony Scott,Director
Enough ,Michael Apted,Director
Enough Said ,Nicole Holofcener,Director
Enter Nowhere ,Jack Heller,Director
Enter the Dangerous Mind ,Youssef Delara,Director
Enter the Void ,Gaspar No?,Director
Entrapment ,Jon Amiel,Director
Envy ,Barry Levinson,Director
Epic ,Chris Wedge,Director
Epic Movie ,Jason Friedberg,Director
Equilibrium ,Kurt Wimmer,Director
Eragon ,Stefen Fangmeier,Director
Eraser ,Chuck Russell,Director
Eraserhead ,David Lynch,Director
Erin Brockovich ,Steven Soderbergh,Director
Ernest & Celestine ,St?phane Aubier,Director
Escape from Alcatraz ,Don Siegel,Director
Escape from L.A. ,John Carpenter,Director
Escape from New York ,John Carpenter,Director
Escape from Planet Earth ,Cal Brunker,Director
Escape from the Planet of the Apes ,Don Taylor,Director
Escape from Tomorrow ,Randy Moore,Director
Escape Plan ,Mikael H?fstr?m,Director
Escobar: Paradise Lost ,Andrea Di Stefano,Director
Eternal Sunshine of the Spotless Mind ,Michel Gondry,Director
Eulogy ,Michael Clancy,Director
EuroTrip ,Jeff Schaffer,Director
Evan Almighty ,Tom Shadyac,Director
Event Horizon ,Paul W.S. Anderson,Director
Ever After: A Cinderella Story ,Andy Tennant,Director
Everest ,Baltasar Korm?kur,Director
Everybody's Fine ,Kirk Jones,Director
Everyone Says I Love You ,Woody Allen,Director
Everything Must Go ,Dan Rush,Director
Everything Put Together ,Marc Forster,Director
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask ,Woody Allen,Director
Eve's Bayou ,Kasi Lemmons,Director
Evil Dead ,Fede Alvarez,Director
Evil Dead II ,Sam Raimi,Director
Evita ,Alan Parker,Director
Evolution ,Lucile Hadzihalilovic,Director
Ex Machina ,Alex Garland,Director
Exam ,Stuart Hazeldine,Director
Excessive Force ,Jon Hess,Director
Executive Decision ,Stuart Baird,Director
Exeter ,Marcus Nispel,Director
Exiled ,Johnnie To,Director
eXistenZ ,David Cronenberg,Director
Exit Wounds ,Andrzej Bartkowiak,Director
Exodus: Gods and Kings ,Ridley Scott,Director
Exodus: Gods and Kings ,Ridley Scott,Director
Exorcist II: The Heretic ,John Boorman,Director
Exorcist: The Beginning ,Renny Harlin,Director
Exotica ,Atom Egoyan,Director
Extract ,Mike Judge,Director
Extraordinary Measures ,Tom Vaughan,Director
Extreme Measures ,Michael Apted,Director
Extreme Movie ,Adam Jay Epstein,Director
Extreme Ops ,Christian Duguay,Director
Extremely Loud & Incredibly Close ,Stephen Daldry,Director
Eye for an Eye ,John Schlesinger,Director
Eye of the Beholder ,Stephan Elliott,Director
Eye of the Dolphin ,Michael D. Sellers,Director
Eye See You ,Jim Gillespie,Director
Eyes Wide Shut ,Stanley Kubrick,Director
F.I.S.T. ,Norman Jewison,Director
Fabled ,Ari Kirschenbaum,Director
Face/Off ,John Woo,Director
Facing the Giants ,Alex Kendrick,Director
Factory Girl ,George Hickenlooper,Director
Fahrenheit 9/11 ,Michael Moore,Director
Failure to Launch ,Tom Dey,Director
Fair Game ,Doug Liman,Director
Faith Connections ,Pan Nalin,Director
Faith Like Potatoes ,Regardt van den Bergh,Director
Faithful ,Paul Mazursky,Director
Falcon Rising ,Ernie Barbarash,Director
Fame ,Kevin Tancharoen,Director
Family Plot ,Alfred Hitchcock,Director
Fantasia ,James Algar,Director
Fantasia 2000 ,James Algar,Director
Fantastic 4: Rise of the Silver Surfer ,Tim Story,Director
Fantastic Four ,Josh Trank,Director
Fantastic Four ,Josh Trank,Director
Fantastic Mr. Fox ,Wes Anderson,Director
Far from Heaven ,Todd Haynes,Director
Far from Men ,David Oelhoffen,Director
Farce of the Penguins ,Bob Saget,Director
Fascination ,Klaus Menzel,Director
Fast Five ,Justin Lin,Director
Fast Times at Ridgemont High ,Amy Heckerling,Director
Faster ,George Tillman Jr.,Director
Fat Albert ,Joel Zwick,Director
"Fat, Sick & Nearly Dead ",Joe Cross,Director
Fatal Attraction ,Adrian Lyne,Director
Fateless ,Lajos Koltai,Director
Fear and Loathing in Las Vegas ,Terry Gilliam,Director
Fear Clinic ,Robert Hall,Director
Feardotcom ,William Malone,Director
Feast ,John Gulager,Director
Felicia's Journey ,Atom Egoyan,Director
Femme Fatale ,Brian De Palma,Director
Fetching Cody ,David Ray,Director
Fever Pitch ,Bobby Farrelly,Director
Fiddler on the Roof ,Norman Jewison,Director
Fido ,Andrew Currie,Director
Fifty Dead Men Walking ,Kari Skogland,Director
Fifty Shades of Black ,Michael Tiddes,Director
Fifty Shades of Grey ,Sam Taylor-Johnson,Director
Fight Club ,David Fincher,Director
Fight to the Finish ,Warren Sheppard,Director
Fight Valley ,Rob Hawk,Director
Fighting Tommy Riley ,Eddie O'Flaherty,Director
Filly Brown ,Youssef Delara,Director
Final Destination ,James Wong,Director
Final Destination 2 ,David R. Ellis,Director
Final Destination 3 ,James Wong,Director
Final Destination 5 ,Steven Quale,Director
Final Fantasy: The Spirits Within ,Hironobu Sakaguchi,Director
Find Me Guilty ,Sidney Lumet,Director
Finding Forrester ,Gus Van Sant,Director
Finding Nemo ,Andrew Stanton,Director
Finding Neverland ,Marc Forster,Director
Finishing the Game: The Search for a New Bruce Lee ,Justin Lin,Director
Firefox ,Clint Eastwood,Director
Fireproof ,Alex Kendrick,Director
Firestarter ,Mark L. Lester,Director
Firestorm ,Alan Yuen,Director
Firewall ,Richard Loncraine,Director
First Blood ,Ted Kotcheff,Director
First Blood ,Ted Kotcheff,Director
First Knight ,Jerry Zucker,Director
"First Love, Last Rites ",Jesse Peretz,Director
Fish Tank ,Andrea Arnold,Director
Fiza ,Khalid Mohamed,Director
Flags of Our Fathers ,Clint Eastwood,Director
Flame and Citron ,Ole Christian Madsen,Director
Flash Gordon ,Mike Hodges,Director
Flash of Genius ,Marc Abraham,Director
Flashdance ,Adrian Lyne,Director
Flatliners ,Joel Schumacher,Director
Flawless ,Joel Schumacher,Director
Fled ,Kevin Hooks,Director
Flicka ,Michael Mayer,Director
Flight ,Robert Zemeckis,Director
Flight of the Intruder ,John Milius,Director
Flight of the Phoenix ,John Moore,Director
Flightplan ,Robert Schwentke,Director
Flipped ,Rob Reiner,Director
Flipper ,Alan Shapiro,Director
Flirting with Disaster ,David O. Russell,Director
Florence Foster Jenkins ,Stephen Frears,Director
Flubber ,Les Mayfield,Director
Flushed Away ,David Bowers,Director
Flyboys ,Tony Bill,Director
Flying By ,Jim Amatulli,Director
Flywheel ,Alex Kendrick,Director
Focus ,Glenn Ficarra,Director
Food Chains ,Sanjay Rawal,Director
"Food, Inc. ",Robert Kenner,Director
Foodfight! ,Lawrence Kasanoff,Director
Foolish ,Dave Meyers,Director
Fool's Gold ,Andy Tennant,Director
Footloose ,Herbert Ross,Director
Footloose ,Herbert Ross,Director
"For a Good Time, Call... ",Jamie Travis,Director
For Colored Girls ,Tyler Perry,Director
For Greater Glory: The True Story of Cristiada ,Dean Wright,Director
For Love of the Game ,Sam Raimi,Director
For Your Consideration ,Christopher Guest,Director
For Your Eyes Only ,John Glen,Director
Force 10 from Navarone ,Guy Hamilton,Director
Forget Me Not ,Tyler Oliver,Director
Forgetting Sarah Marshall ,Nicholas Stoller,Director
Formula 51 ,Ronny Yu,Director
Forrest Gump ,Robert Zemeckis,Director
Forsaken ,Jon Cassar,Director
Forsaken ,Jon Cassar,Director
Fort McCoy ,Kate Connor,Director
Fortress ,Stuart Gordon,Director
Forty Shades of Blue ,Ira Sachs,Director
Four Brothers ,John Singleton,Director
Four Christmases ,Seth Gordon,Director
Four Lions ,Christopher Morris,Director
Four Rooms ,Allison Anders,Director
Four Single Fathers ,Paolo Monico,Director
Four Weddings and a Funeral ,Mike Newell,Director
Frailty ,Bill Paxton,Director
Frances Ha ,Noah Baumbach,Director
Frankenweenie ,Tim Burton,Director
Frat Party ,Robert Bennett,Director
Freakonomics ,Heidi Ewing,Director
Freaky Deaky ,Charles Matthau,Director
Freaky Friday ,Mark Waters,Director
Freddy Got Fingered ,Tom Green,Director
Freddy vs. Jason ,Ronny Yu,Director
Freddy's Dead: The Final Nightmare ,Rachel Talalay,Director
Free Birds ,Jimmy Hayward,Director
Free State of Jones ,Gary Ross,Director
Free Style ,William Dear,Director
Freedom ,Peter Cousens,Director
Freedom Writers ,Richard LaGravenese,Director
Freeheld ,Peter Sollett,Director
Freeway ,Matthew Bright,Director
Freeze Frame ,John Simpson,Director
Frenzy ,Alfred Hitchcock,Director
Frequency ,Gregory Hoblit,Director
Frida ,Julie Taymor,Director
Friday ,F. Gary Gray,Director
Friday After Next ,Marcus Raboy,Director
Friday the 13th Part 2 ,Steve Miner,Director
Friday the 13th Part III ,Steve Miner,Director
Friday the 13th Part VII: The New Blood ,John Carl Buechler,Director
Friday the 13th Part VIII: Jason Takes Manhattan ,Rob Hedden,Director
Friday the 13th: A New Beginning ,Danny Steinmann,Director
Friday the 13th: The Final Chapter ,Joseph Zito,Director
Friends with Benefits ,Will Gluck,Director
Friends with Money ,Nicole Holofcener,Director
Fright Night ,Craig Gillespie,Director
From a Whisper to a Scream ,Jeff Burr,Director
From Dusk Till Dawn ,Robert Rodriguez,Director
From Hell ,Albert Hughes,Director
From Hell ,Albert Hughes,Director
From Here to Eternity ,Fred Zinnemann,Director
From Justin to Kelly ,Robert Iscove,Director
From Paris with Love ,Pierre Morel,Director
From Russia with Love ,Terence Young,Director
Frost/Nixon ,Ron Howard,Director
Frozen ,Chris Buck,Director
Frozen River ,Courtney Hunt,Director
Fruitvale Station ,Ryan Coogler,Director
Fuel ,Joshua Tickell,Director
Fugly ,Kabir Sadanand,Director
Full Frontal ,Steven Soderbergh,Director
Fun Size ,Josh Schwartz,Director
Fun with Dick and Jane ,Dean Parisot,Director
Funny Games ,Michael Haneke,Director
Funny Ha Ha ,Andrew Bujalski,Director
Funny People ,Judd Apatow,Director
Fur: An Imaginary Portrait of Diane Arbus ,Steven Shainberg,Director
Furious 7 ,James Wan,Director
Furry Vengeance ,Roger Kumble,Director
Fury ,David Ayer,Director
Futuro Beach ,Karim A?nouz,Director
G.I. Jane ,Ridley Scott,Director
G.I. Joe: Retaliation ,Jon M. Chu,Director
G.I. Joe: The Rise of Cobra ,Stephen Sommers,Director
Gabriela ,Bruno Barreto,Director
Galaxina ,William Sachs,Director
Galaxy Quest ,Dean Parisot,Director
Gamer ,Mark Neveldine,Director
Gandhi ,Richard Attenborough,Director
"Gandhi, My Father ",Feroz Abbas Khan,Director
Gangs of New York ,Martin Scorsese,Director
Gangster Squad ,Ruben Fleischer,Director
Gangster's Paradise: Jerusalema ,Ralph Ziman,Director
Garden State ,Zach Braff,Director
Garfield ,Peter Hewitt,Director
Garfield 2 ,Tim Hill,Director
Gattaca ,Andrew Niccol,Director
Gentleman's Agreement ,Elia Kazan,Director
Gentlemen Broncos ,Jared Hess,Director
George and the Dragon ,Tom Reeve,Director
George of the Jungle ,Sam Weisman,Director
George Washington ,David Gordon Green,Director
Georgia Rule ,Garry Marshall,Director
Gerry ,Gus Van Sant,Director
Get Carter ,Stephen Kay,Director
Get Hard ,Etan Cohen,Director
Get Him to the Greek ,Nicholas Stoller,Director
Get Low ,Aaron Schneider,Director
Get on the Bus ,Spike Lee,Director
Get on Up ,Tate Taylor,Director
Get Over It ,Tommy O'Haver,Director
Get Rich or Die Tryin' ,Jim Sheridan,Director
Get Shorty ,Barry Sonnenfeld,Director
Get Smart ,Peter Segal,Director
Getaway ,Courtney Solomon,Director
Gettysburg ,Ron Maxwell,Director
G-Force ,Hoyt Yeatman,Director
Ghost ,Jerry Zucker,Director
Ghost Dog: The Way of the Samurai ,Jim Jarmusch,Director
Ghost Rider ,Mark Steven Johnson,Director
Ghost Rider: Spirit of Vengeance ,Mark Neveldine,Director
Ghost Ship ,Steve Beck,Director
Ghost Town ,David Koepp,Director
Ghost World ,Terry Zwigoff,Director
Ghostbusters ,Paul Feig,Director
Ghostbusters ,Paul Feig,Director
Ghosts of Mars ,John Carpenter,Director
Ghosts of Mississippi ,Rob Reiner,Director
Gigli ,Martin Brest,Director
Girl 6 ,Spike Lee,Director
Girl House ,Jon Knautz,Director
Girl with a Pearl Earring ,Peter Webber,Director
"Girl, Interrupted ",James Mangold,Director
Girls Gone Dead ,Michael Hoffman Jr.,Director
Give Me Shelter ,Kristin Rizzo,Director
Gladiator ,Ridley Scott,Director
Glee: The 3D Concert Movie ,Kevin Tancharoen,Director
Glengarry Glen Ross ,James Foley,Director
Glitter ,Vondie Curtis-Hall,Director
Glory ,Edward Zwick,Director
Glory ,Edward Zwick,Director
Glory Road ,James Gartner,Director
Go ,Doug Liman,Director
Go for It! ,Carmen Marron,Director
Goal! The Dream Begins ,Danny Cannon,Director
Goddess of Love ,Jon Knautz,Director
Gods and Generals ,Ron Maxwell,Director
Gods and Monsters ,Bill Condon,Director
God's Not Dead 2 ,Harold Cronk,Director
Gods of Egypt ,Alex Proyas,Director
Godsend ,Nick Hamm,Director
Godzilla 2000 ,Takao Okawara,Director
Godzilla Resurgence ,Hideaki Anno,Director
Godzilla Resurgence ,Hideaki Anno,Director
Going the Distance ,Nanette Burstein,Director
GoldenEye ,Martin Campbell,Director
Goldfinger ,Guy Hamilton,Director
Gone Girl ,David Fincher,Director
Gone in Sixty Seconds ,Dominic Sena,Director
Gone with the Wind ,Victor Fleming,Director
Good ,Vicente Amorim,Director
Good Boy! ,John Hoffman,Director
Good Bye Lenin! ,Wolfgang Becker,Director
Good Deeds ,Tyler Perry,Director
Good Dick ,Marianna Palka,Director
Good Intentions ,Jim Issa,Director
Good Kill ,Andrew Niccol,Director
Good Luck Chuck ,Mark Helfrich,Director
"Good Morning, Vietnam ",Barry Levinson,Director
"Good Night, and Good Luck. ",George Clooney,Director
Good Will Hunting ,Gus Van Sant,Director
Goodfellas ,Martin Scorsese,Director
Goosebumps ,Rob Letterman,Director
Goosebumps ,Rob Letterman,Director
Gory Gory Hallelujah ,Sue Corcoran,Director
Gosford Park ,Robert Altman,Director
Gossip ,Davis Guggenheim,Director
Gothika ,Mathieu Kassovitz,Director
Grabbers ,Jon Wright,Director
Grace of Monaco ,Olivier Dahan,Director
Grace Unplugged ,Brad J. Silverman,Director
Gracie ,Davis Guggenheim,Director
Graduation Day ,Herb Freed,Director
Gran Torino ,Clint Eastwood,Director
Grand Theft Parsons ,David Caffrey,Director
Grandma's Boy ,Nicholaus Goossen,Director
Grave Encounters ,Colin Minihan,Director
Gravity ,Alfonso Cuar?n,Director
Grease ,Randal Kleiser,Director
Green Lantern ,Martin Campbell,Director
Green Room ,Jeremy Saulnier,Director
Green Street 3: Never Back Down ,James Nunn,Director
Green Zone ,Paul Greengrass,Director
Gremlins ,Joe Dante,Director
Gremlins 2: The New Batch ,Joe Dante,Director
Gridiron Gang ,Phil Joanou,Director
Griff the Invisible ,Leon Ford,Director
Grindhouse ,Robert Rodriguez,Director
Groove ,Greg Harrison,Director
Grosse Pointe Blank ,George Armitage,Director
Groundhog Day ,Harold Ramis,Director
Growing Up Smith ,Frank Lotito,Director
Grown Ups ,Dennis Dugan,Director
Grown Ups 2 ,Dennis Dugan,Director
Grudge Match ,Peter Segal,Director
Guardians of the Galaxy ,James Gunn,Director
Guess Who ,Kevin Rodney Sullivan,Director
Guiana 1838 ,Rohit Jagessar,Director
Gulliver's Travels ,Rob Letterman,Director
Gun Shy ,Eric Blakeney,Director
Gunless ,William Phillips,Director
H. ,Rania Attieh,Director
Hachi: A Dog's Tale ,Lasse Hallstr?m,Director
Hackers ,Iain Softley,Director
"Hail, Caesar! ",Ethan Coen,Director
Hairspray ,Adam Shankman,Director
Half Baked ,Tamra Davis,Director
Half Nelson ,Ryan Fleck,Director
Half Past Dead ,Don Michael Paul,Director
Hall Pass ,Bobby Farrelly,Director
Halloween ,John Carpenter,Director
Halloween ,John Carpenter,Director
Halloween ,John Carpenter,Director
Halloween 4: The Return of Michael Myers ,Dwight H. Little,Director
Halloween 5 ,Dominique Othenin-Girard,Director
Halloween II ,Rob Zombie,Director
Halloween II ,Rob Zombie,Director
Halloween III: Season of the Witch ,Tommy Lee Wallace,Director
Halloween: Resurrection ,Rick Rosenthal,Director
Halloween: The Curse of Michael Myers ,Joe Chappelle,Director
Hamlet ,Kenneth Branagh,Director
Hamlet ,Kenneth Branagh,Director
Hamlet 2 ,Andrew Fleming,Director
Hancock ,Peter Berg,Director
Hands of Stone ,Jonathan Jakubowicz,Director
Hang 'Em High ,Ted Post,Director
Hanging Up ,Diane Keaton,Director
Hanna ,Joe Wright,Director
Hannah Montana: The Movie ,Peter Chelsom,Director
Hannibal Rising ,Peter Webber,Director
Hansel & Gretel Get Baked ,Duane Journey,Director
Hansel & Gretel: Witch Hunters ,Tommy Wirkola,Director
Happily N'Ever After ,Paul Bolger,Director
Happiness ,Todd Solondz,Director
Happy Christmas ,Joe Swanberg,Director
Happy Feet ,George Miller,Director
Happy Feet 2 ,George Miller,Director
Happy Gilmore ,Dennis Dugan,Director
"Happy, Texas ",Mark Illsley,Director
Hard Candy ,David Slade,Director
Hard Rain ,Mikael Salomon,Director
Hard to Be a God ,Aleksey German,Director
Hardball ,Brian Robbins,Director
Hardflip ,Johnny Remo,Director
Harley Davidson and the Marlboro Man ,Simon Wincer,Director
Harlock: Space Pirate ,Shinji Aramaki,Director
Harold & Kumar Escape from Guantanamo Bay ,Jon Hurwitz,Director
Harold & Kumar Go to White Castle ,Danny Leiner,Director
Harper ,Jack Smight,Director
Harriet the Spy ,Bronwen Hughes,Director
Harrison Montgomery ,Daniel Davila,Director
Harry Brown ,Daniel Barber,Director
Harry Potter and the Chamber of Secrets ,Chris Columbus,Director
Harry Potter and the Deathly Hallows: Part I ,Matt Birch,Director
Harry Potter and the Deathly Hallows: Part II ,Matt Birch,Director
Harry Potter and the Goblet of Fire ,Mike Newell,Director
Harry Potter and the Half-Blood Prince ,David Yates,Director
Harry Potter and the Order of the Phoenix ,David Yates,Director
Harry Potter and the Prisoner of Azkaban ,Alfonso Cuar?n,Director
Harry Potter and the Sorcerer's Stone ,Chris Columbus,Director
Harsh Times ,David Ayer,Director
Hart's War ,Gregory Hoblit,Director
Harvard Man ,James Toback,Director
Hatchet ,Adam Green,Director
Hav Plenty ,Christopher Scott Cherot,Director
Hayride ,Terron R. Parsons,Director
Haywire ,Steven Soderbergh,Director
He Got Game ,Spike Lee,Director
Head of State ,Chris Rock,Director
Head Over Heels ,Mark Waters,Director
Headhunters ,Morten Tyldum,Director
Heartbeeps ,Allan Arkush,Director
Heartbreakers ,David Mirkin,Director
Hearts in Atlantis ,Scott Hicks,Director
Heaven Is for Real ,Randall Wallace,Director
Heavenly Creatures ,Peter Jackson,Director
Heaven's Gate ,Michael Cimino,Director
Heavy Metal ,Gerald Potterton,Director
Hedwig and the Angry Inch ,John Cameron Mitchell,Director
Heist ,Scott Mann,Director
Heist ,Scott Mann,Director
Held Up ,Steve Rash,Director
Heli ,Amat Escalante,Director
Hellboy ,Guillermo del Toro,Director
Hellboy II: The Golden Army ,Guillermo del Toro,Director
Hellraiser ,Clive Barker,Director
Hell's Angels ,Howard Hughes,Director
Henry & Me ,Barrett Esposito,Director
Henry V ,Kenneth Branagh,Director
Her ,Spike Jonze,Director
Her Cry: La Llorona Investigation ,Damir Catic,Director
Herbie Fully Loaded ,Angela Robinson,Director
Hercules ,Brett Ratner,Director
Hercules ,Brett Ratner,Director
Here Comes the Boom ,Frank Coraci,Director
Here on Earth ,Mark Piznarski,Director
Hereafter ,Clint Eastwood,Director
Hero ,Yimou Zhang,Director
Hero ,Yimou Zhang,Director
Heroes of Dirt ,Eric Bugbee,Director
He's Just Not That Into You ,Ken Kwapis,Director
Hesher ,Spencer Susser,Director
Hey Arnold! The Movie ,Tuck Tucker,Director
Hidalgo ,Joe Johnston,Director
Hidden Away ,Mikel Rueda,Director
Hide and Seek ,John Polson,Director
High Anxiety ,Mel Brooks,Director
High Crimes ,Carl Franklin,Director
High Fidelity ,Stephen Frears,Director
High Heels and Low Lifes ,Mel Smith,Director
High Noon ,Fred Zinnemann,Director
High Plains Drifter ,Clint Eastwood,Director
High Road ,Matt Walsh,Director
High School Musical ,Kenny Ortega,Director
High School Musical 2 ,Kenny Ortega,Director
High School Musical 3: Senior Year ,Kenny Ortega,Director
High Tension ,Alexandre Aja,Director
Higher Ground ,Vera Farmiga,Director
Highlander ,Russell Mulcahy,Director
Highlander: Endgame ,Douglas Aarniokoski,Director
Highlander: The Final Dimension ,Andrew Morahan,Director
Highway ,James Cox,Director
History of the World: Part I ,Mel Brooks,Director
History of the World: Part I ,Mel Brooks,Director
Hit and Run ,David Palmer,Director
Hitch ,Andy Tennant,Director
Hitman ,Xavier Gens,Director
Hits ,David Cross,Director
Hobo with a Shotgun ,Jason Eisener,Director
Hocus Pocus ,Kenny Ortega,Director
Hoffa ,Danny DeVito,Director
Holes ,Andrew Davis,Director
Hollow Man ,Paul Verhoeven,Director
Hollywood Ending ,Woody Allen,Director
Hollywood Homicide ,Ron Shelton,Director
Hollywood Shuffle ,Robert Townsend,Director
Holy Man ,Stephen Herek,Director
Holy Motors ,Leos Carax,Director
Home ,Tim Johnson,Director
Home ,Tim Johnson,Director
Home ,Tim Johnson,Director
Home Alone ,Chris Columbus,Director
Home Alone 2: Lost in New York ,Chris Columbus,Director
Home for the Holidays ,Jodie Foster,Director
Home Fries ,Dean Parisot,Director
Home on the Range ,Will Finn,Director
Home Run ,David Boyd,Director
Homefront ,Gary Fleder,Director
Honey ,Bille Woodruff,Director
Hoodwinked Too! Hood vs. Evil ,Mike Disa,Director
Hoodwinked! ,Cory Edwards,Director
Hook ,Steven Spielberg,Director
Hoop Dreams ,Steve James,Director
Hoot ,Wil Shriner,Director
Hop ,Tim Hill,Director
Hope Floats ,Forest Whitaker,Director
Hope Springs ,David Frankel,Director
Horrible Bosses ,Seth Gordon,Director
Horrible Bosses 2 ,Sean Anders,Director
Horse Camp ,Joel Paul Reisig,Director
Hostage ,Florent-Emilio Siri,Director
Hostel ,Eli Roth,Director
Hostel: Part II ,Eli Roth,Director
Hot Fuzz ,Edgar Wright,Director
Hot Pursuit ,Anne Fletcher,Director
Hot Rod ,Akiva Schaffer,Director
Hot Tub Time Machine ,Steve Pink,Director
Hot Tub Time Machine 2 ,Steve Pink,Director
Hotel for Dogs ,Thor Freudenthal,Director
Hotel Rwanda ,Terry George,Director
Hotel Transylvania ,Genndy Tartakovsky,Director
Hotel Transylvania 2 ,Genndy Tartakovsky,Director
House at the End of the Drive ,David Worth,Director
House at the End of the Street ,Mark Tonderai,Director
House of 1000 Corpses ,Rob Zombie,Director
House of D ,David Duchovny,Director
House of Flying Daggers ,Yimou Zhang,Director
House of Sand ,Andrucha Waddington,Director
House of Sand and Fog ,Vadim Perelman,Director
House of Wax ,Jaume Collet-Serra,Director
House of Wax ,Jaume Collet-Serra,Director
House on Haunted Hill ,William Malone,Director
House Party 2 ,George Jackson,Director
Housebound ,Gerard Johnstone,Director
Housefull ,Sajid Khan,Director
How Do You Know ,James L. Brooks,Director
How Green Was My Valley ,John Ford,Director
How High ,Jesse Dylan,Director
How She Move ,Ian Iqbal Rashid,Director
How Stella Got Her Groove Back ,Kevin Rodney Sullivan,Director
How the Grinch Stole Christmas ,Ron Howard,Director
How to Be a Player ,Lionel C. Martin,Director
How to Be Single ,Christian Ditter,Director
How to Deal ,Clare Kilner,Director
How to Fall in Love ,Mark Griffiths,Director
How to Lose a Guy in 10 Days ,Donald Petrie,Director
How to Lose Friends & Alienate People ,Robert B. Weide,Director
How to Train Your Dragon ,Dean DeBlois,Director
How to Train Your Dragon 2 ,Dean DeBlois,Director
Howard the Duck ,Willard Huyck,Director
Howards End ,James Ivory,Director
Howl's Moving Castle ,Hayao Miyazaki,Director
Hud ,Martin Ritt,Director
Hudson Hawk ,Michael Lehmann,Director
Hugo ,Martin Scorsese,Director
Hulk ,Ang Lee,Director
Hum To Mohabbat Karega ,Kundan Shah,Director
Human Traffic ,Justin Kerrigan,Director
Hurricane Streets ,Morgan J. Freeman,Director
Hustle & Flow ,Craig Brewer,Director
