movie_title,duration,gross,imdb_score,budget,title_year
Delivery Man,105,30659817.00,6.4,26000000.00,2013
De-Lovely,125,13337299.00,6.6,20000000.00,2004
Demonic,83,,5.3,3000000.00,2015
Departure,109,,7,1100000.00,2015
Derailed,112,36020063.00,6.6,22000000.00,2005
Desert Blue,90,99147.00,6.2,2000000.00,1998
Desert Dancer,104,143653.00,6,4000000.00,2014
Desperado,104,25625110.00,7.2,7000000.00,1995
Despicable Me 2,98,368049635.00,7.5,76000000.00,2013
Despicable Me,87,251501645.00,7.7,69000000.00,2010
Destiny,,,8.1,,2014
Detention of the Dead,87,1332.00,4.6,500000.00,2012
Detention,93,,5.8,10000000.00,2011
Deterrence,104,144583.00,6.5,800000.00,1999
Detroit Rock City,95,4193025.00,6.8,15000000.00,1999
Deuce Bigalow: European Gigolo,83,22264487.00,4.6,22000000.00,2005
Deuce Bigalow: Male Gigolo,88,65535067.00,5.7,17000000.00,1999
Deuces Wild,96,6044618.00,5.6,10000000.00,2002
Devil,80,33583175.00,6.3,10000000.00,2010
Devil's Due,89,15818967.00,4,7000000.00,2014
Diamond Ruff,82,,4.3,500000.00,2015
Diamonds Are Forever,120,43800000.00,6.7,7200000.00,1971
Diary of a Mad Black Woman,116,50382128.00,5.6,5500000.00,2005
Diary of a Wimpy Kid: Dog Days,94,49002815.00,6.4,22000000.00,2012
Diary of a Wimpy Kid: Rodrick Rules,99,52691009.00,6.6,21000000.00,2011
Diary of a Wimpy Kid,94,64001297.00,6.2,15000000.00,2010
Diary of the Dead,95,952620.00,5.7,2000000.00,2007
Dick Tracy,105,103738726.00,6.1,100000000.00,1990
Dick,94,6241697.00,6.1,13000000.00,1999
Dickie Roberts: Former Child Star,98,22734486.00,5.6,17000000.00,2003
Did You Hear About the Morgans,103,29580087.00,4.7,58000000.00,2009
Die Another Day,133,160201106.00,6.1,142000000.00,2002
Die Hard 2,124,117541000.00,7.1,70000000.00,1990
Die Hard with a Vengeance,128,100012500.00,7.6,90000000.00,1995
Die Hard,131,81350242.00,8.2,28000000.00,1988
Digimon: The Movie,82,9628751.00,5.9,5000000.00,2000
Dil Jo Bhi Kahey...,,129319.00,5.1,70000000.00,2005
Diner,110,14100000.00,7.2,5000000.00,1982
Dinner for Schmucks,114,72980108.00,5.9,,2010
Dinner Rush,99,110000.00,7.3,,2000
Dinosaur,82,137748063.00,6.5,127500000.00,2000
Dirty Grandpa,109,35537564.00,6,11500000.00,2016
Dirty Pretty Things,97,8111360.00,7.4,10000000.00,2002
Dirty Work,82,9975684.00,6.4,13000000.00,1998
Disaster Movie,88,14174654.00,1.9,25000000.00,2008
Disclosure,128,83000000.00,6,55000000.00,1994
District 9,112,115646235.00,8,30000000.00,2009
District B13,84,1197786.00,7.2,12000000.00,2004
Disturbia,105,80050171.00,6.9,20000000.00,2007
Disturbia,105,80050171.00,6.9,20000000.00,2007
Disturbing Behavior,84,17411331.00,5.5,15000000.00,1998
Divergent,139,150832203.00,6.7,85000000.00,2014
Divine Secrets of the Ya-Ya Sisterhood,116,69586544.00,6,27000000.00,2002
Django Unchained,165,162804648.00,8.5,100000000.00,2012
Do the Right Thing,120,27545445.00,7.9,6500000.00,1989
Do You Believe,120,12985267.00,5.9,2300000.00,2015
DOA: Dead or Alive,87,480314.00,4.8,21000000.00,2006
Doc Holliday's Revenge,84,,3.8,1000000.00,2014
Doctor Dolittle,85,144156464.00,5.3,71500000.00,1998
Doctor Zhivago,200,111722000.00,8,11000000.00,1965
Dodgeball: A True Underdog Story,92,114324072.00,6.7,20000000.00,2004
Dodgeball: A True Underdog Story,92,114324072.00,6.7,20000000.00,2004
Dogma,130,30651422.00,7.4,10000000.00,1999
Dogtooth,94,110197.00,7.3,,2009
Dogtown and Z-Boys,91,1293295.00,7.7,,2001
Dolphin Tale 2,107,42019483.00,6.4,36000000.00,2014
Dolphin Tale,113,72279690.00,6.9,37000000.00,2011
Dolphins and Whales 3D: Tribes of the Ocean,42,7518876.00,6.5,6000000.00,2008
Dom Hemingway,93,518134.00,6.2,,2013
Domestic Disturbance,89,45207112.00,5.5,53000000.00,2001
Domino,127,10137232.00,6,50000000.00,2005
Don Jon,90,24475193.00,6.6,3000000.00,2013
Don Juan DeMarco,97,22200000.00,6.8,25000000.00,1994
Don McKay,87,,5.9,,2009
Donkey Punch,99,18378.00,5.2,900000.00,2008
Donnie Brasco,147,41954997.00,7.8,35000000.00,1997
Donnie Darko,133,727883.00,8.1,4500000.00,2001
Donovan's Reef,109,,6.9,2686585.00,1963
Don't Be Afraid of the Dark,99,24042490.00,5.6,25000000.00,2010
Don't Say a Word,113,54997476.00,6.3,50000000.00,2001
Doogal,77,7382993.00,2.8,20000000.00,2006
Doom,113,28031250.00,5.2,60000000.00,2005
Doomsday,113,10955425.00,6,30000000.00,2008
Dope,103,17474107.00,7.3,7000000.00,2015
Double Impact,110,30102717.00,5.5,15000000.00,1991
Double Jeopardy,105,116735231.00,6.4,70000000.00,1999
Double Take,88,20218.00,5.3,24000000.00,2001
Doubt,104,33422556.00,7.5,20000000.00,2008
Doug's 1st Movie,77,19421271.00,5,5000000.00,1999
Down and Out with the Dolls,88,58936.00,6.1,1200000.00,2001
Down for Life,92,,7.3,,2009
Down in the Valley,108,568695.00,6.5,8000000.00,2005
Down Terrace,93,9609.00,6.5,,2009
Down to Earth,87,64172251.00,5.4,30000000.00,2001
Down to You,91,20035310.00,4.9,9000000.00,2000
Downfall,178,5501940.00,8.3,13500000.00,2004
Dr. Dolittle 2,87,112950721.00,4.6,72000000.00,2001
Dr. No,110,16067035.00,7.3,1100000.00,1962
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95,,8.5,1800000.00,1964
Dracula 2000,99,33000377.00,4.9,28000000.00,2000
Dracula Untold,92,55942830.00,6.3,70000000.00,2014
Dracula: Pages from a Virgin's Diary,73,39659.00,7,1600000.00,2002
Draft Day,110,28831145.00,6.8,25000000.00,2014
Drag Me to Hell,99,42057340.00,6.6,30000000.00,2009
Dragon Blade,103,72413.00,6.1,65000000.00,2015
Dragon Hunters,80,,6.6,11000000.00,2008
Dragon Nest: Warriors' Dawn,88,,6.4,40000000.00,2014
Dragon Wars: D-War,107,10956379.00,3.6,35000000.00,2007
Dragonball: Evolution,100,9353573.00,2.7,45000000.00,2009
Dragonfly,104,30063805.00,6.1,60000000.00,2002
DragonHeart,103,51317350.00,6.4,57000000.00,1996
Dragonslayer,108,6000000.00,6.7,18000000.00,1981
Dream House,84,21283440.00,6,55000000.00,2011
Dream with the Fishes,97,464655.00,7,1000000.00,1997
Dreamcatcher,136,33685268.00,5.5,68000000.00,2003
Dreamer: Inspired by a True Story,98,32701088.00,6.9,32000000.00,2005
Dreamgirls,130,103338338.00,6.5,70000000.00,2006
Dreaming of Joseph Lees,92,7680.00,6.4,2000000.00,1999
Dredd,95,13401683.00,7.1,35000000.00,2012
Dredd,95,13401683.00,7.1,35000000.00,2012
Dressed to Kill,104,31899000.00,7.1,6500000.00,1980
Drillbit Taylor,102,32853640.00,5.7,40000000.00,2008
Drinking Buddies,90,342936.00,6.1,,2013
Drive Angry,104,10706786.00,5.5,50000000.00,2011
Drive Hard,92,,4.3,12000000.00,2014
Drive Me Crazy,91,17843379.00,5.7,8000000.00,1999
Drive,100,35054909.00,7.8,15000000.00,2011
Driven,116,32616869.00,4.5,72000000.00,2001
Driving Lessons,98,238774.00,6.8,,2006
Driving Miss Daisy,99,106593296.00,7.4,7500000.00,1989
Drop Dead Gorgeous,97,10561238.00,6.5,10000000.00,1999
Drowning Mona,96,15427192.00,5.6,16000000.00,2000
Drumline,118,56398162.00,5.7,20000000.00,2002
Dry Spell,90,,3.3,22000.00,2013
"Dude, Where's My Car",83,46729374.00,5.5,13000000.00,2000
"Dude, Where's My Dog!",82,,3.2,20000.00,2014
Dudley Do-Right,77,9694105.00,3.8,22000000.00,1999
Due Date,95,100448498.00,6.6,65000000.00,2010
Duel in the Sun,144,20400000.00,6.9,8000000.00,1946
Duets,112,4734235.00,6,15000000.00,2000
Dum Maaro Dum,128,563699.00,6.2,,2011
Duma,100,860002.00,7.3,12000000.00,2005
Dumb & Dumber,113,127175354.00,7.3,16000000.00,1994
Dumb and Dumber To,109,86208010.00,5.7,35000000.00,2014
Dumb and Dumberer: When Harry Met Lloyd,85,26096584.00,3.4,19000000.00,2003
Dune,177,27400000.00,6.6,40000000.00,1984
Dungeons & Dragons: Wrath of the Dragon God,105,,4.9,15000000.00,2005
Duplex,89,9652000.00,5.8,40000000.00,2003
Duplicity,125,40559930.00,6.2,60000000.00,2009
Dutch Kills,90,,4.8,25000.00,2015
Dwegons and Leprechauns,98,,4.8,20000000.00,2014
Dying of the Light,94,,4.4,5000000.00,2014
Dylan Dog: Dead of Night,107,1183354.00,5.1,20000000.00,2010
Dysfunctional Friends,111,,5.4,1800000.00,2012
DysFunktional Family,89,2223990.00,6.6,3000000.00,2003
E.T. the Extra-Terrestrial,120,434949459.00,7.9,10500000.00,1982
Eagle Eye,118,101111837.00,6.6,80000000.00,2008
Earth to Echo,91,38916903.00,5.8,13000000.00,2014
Earth,110,528972.00,7.8,,1998
East Is East,96,4170647.00,6.9,1900000.00,1999
Eastern Promises,96,17114882.00,7.7,25000000.00,2007
Easy A,92,58401464.00,7.1,8000000.00,2010
Easy Money,124,188870.00,6.7,,2010
Easy Virtue,97,2656324.00,6.7,,2008
Eat Pray Love,140,80574010.00,5.7,60000000.00,2010
Echo Dr.,81,,3.6,100000.00,2013
Ed and His Dead Mother,93,,6.1,1800000.00,1993
Ed Wood,127,5887457.00,7.9,18000000.00,1994
Eddie the Eagle,106,15785632.00,7.5,23000000.00,2016
Eddie the Eagle,106,15785632.00,7.5,23000000.00,2016
Eddie: The Sleepwalking Cannibal,83,1521.00,5.7,1500000.00,2012
Eden Lake,91,5824.00,6.8,,2008
Eden,90,,4.8,,2015
Edge of Darkness,117,43290977.00,6.6,80000000.00,2010
Edge of Tomorrow,113,100189501.00,7.9,178000000.00,2014
Edmond,82,131617.00,6.3,10000000.00,2005
Edtv,122,22362500.00,6.1,55000000.00,1999
Edward Scissorhands,105,56362352.00,7.9,20000000.00,1990
Eight Below,120,81593527.00,7.3,40000000.00,2006
Eight Legged Freaks,99,17266505.00,5.4,30000000.00,2002
El crimen del padre Amaro,118,5709616.00,6.8,1800000.00,2002
El Mariachi,81,2040920.00,6.9,7000.00,1992
Election,103,14879556.00,7.3,8000000.00,1999
Elektra,100,24407944.00,4.8,43000000.00,2005
Elf,97,173381405.00,6.9,33000000.00,2003
Elite Squad,115,8060.00,8.1,4000000.00,2007
Elizabeth: The Golden Age,114,16264475.00,6.9,55000000.00,2007
Elizabeth,124,30012990.00,7.5,25000000.00,1998
Elizabethtown,123,26838389.00,6.4,57000000.00,2005
Ella Enchanted,96,22913677.00,6.3,35000000.00,2004
Elling,89,313436.00,7.6,15500000.00,2001
Elmer Gantry,146,,7.9,3000000.00,1960
Elsa & Fred,97,,6.5,10000000.00,2014
Elysium,109,93050117.00,6.6,115000000.00,2013
Elza,78,,6.7,900000.00,2011
Emma,240,,8.2,,
Empire,42,,7.8,,
Employee of the Month,103,28435406.00,5.5,12000000.00,2006
Enchanted,107,127706877.00,7.1,85000000.00,2007
End of Days,121,66862068.00,5.7,83000000.00,1999
End of the Spear,108,11703287.00,7,10000000.00,2005
End of Watch,109,40983001.00,7.7,7000000.00,2012
Ender's Game,114,61656849.00,6.7,110000000.00,2013
Endless Love,104,23393765.00,6.3,20000000.00,2014
Enemy at the Gates,131,51396781.00,7.6,68000000.00,2001
Enemy of the State,140,111544445.00,7.3,90000000.00,1998
Enough Said,93,17536788.00,7.1,8000000.00,2013
Enough,115,39177215.00,5.6,38000000.00,2002
Enter Nowhere,90,,6.6,500000.00,2011
Enter the Dangerous Mind,88,,5.2,800000.00,2013
Enter the Void,161,336467.00,7.3,13000000.00,2009
Entourage,28,,8.5,,
Entrapment,113,87704396.00,6.2,66000000.00,1999
Envy,99,12181484.00,4.8,40000000.00,2004
Epic Movie,93,39737645.00,2.3,20000000.00,2007
Epic,102,107515297.00,6.7,100000000.00,2013
Equilibrium,107,1190018.00,7.5,20000000.00,2002
Eragon,104,75030163.00,5.1,100000000.00,2006
Eraser,115,101228120.00,6.1,100000000.00,1996
Eraserhead,89,,7.4,20000.00,1977
Erin Brockovich,131,125548685.00,7.3,52000000.00,2000
Ernest & Celestine,80,71442.00,7.9,9600000.00,2012
Escape from Alcatraz,112,36500000.00,7.6,8000000.00,1979
Escape from L.A.,101,25407250.00,5.7,50000000.00,1996
Escape from New York,106,25244700.00,7.2,6000000.00,1981
Escape from Planet Earth,89,57011847.00,5.9,40000000.00,2013
Escape from the Planet of the Apes,98,,6.3,2500000.00,1971
Escape from Tomorrow,90,169719.00,5.2,,2013
Escape Plan,115,25121291.00,6.7,50000000.00,2013
Escobar: Paradise Lost,120,106869.00,6.6,17000000.00,2014
Eternal Sunshine of the Spotless Mind,108,34126138.00,8.3,20000000.00,2004
Eulogy,85,70527.00,6.7,6500000.00,2004
Eureka,60,,7.9,,
EuroTrip,93,17718223.00,6.6,25000000.00,2004
Evan Almighty,96,100289690.00,5.4,175000000.00,2007
Event Horizon,130,26616590.00,6.7,60000000.00,1997
Ever After: A Cinderella Story,121,65703412.00,7,26000000.00,1998
Everest,121,43247140.00,7.1,55000000.00,2015
Everybody's Fine,99,8855646.00,7.2,21000000.00,2009
Everyone Says I Love You,101,9714482.00,6.8,20000000.00,1996
Everything Must Go,97,2711210.00,6.4,5000000.00,2010
Everything Put Together,87,,6.6,100000.00,2000
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,88,,6.8,2000000.00,1972
Eve's Bayou,109,14821531.00,7.3,6000000.00,1997
Evil Dead II,37,5923044.00,7.8,3600000.00,1987
Evil Dead,96,54239856.00,6.5,17000000.00,2013
Evita,135,49994804.00,6.3,55000000.00,1996
Evolution,81,,6.4,,2015
Ex Machina,108,25440971.00,7.7,15000000.00,2015
Exam,101,,6.9,,2009
Excessive Force,87,1200000.00,5.1,3000000.00,1993
Executive Decision,133,68750000.00,6.4,55000000.00,1996
Exeter,91,,4.6,,2015
Exiled,110,49413.00,7.3,35000000.00,2006
eXistenZ,115,2840417.00,6.8,31000000.00,1999
Exit Wounds,101,51758599.00,5.5,33000000.00,2001
Exodus: Gods and Kings,150,65007045.00,6.1,140000000.00,2014
Exodus: Gods and Kings,150,65007045.00,6.1,140000000.00,2014
Exorcist II: The Heretic,118,,3.7,14000000.00,1977
Exorcist: The Beginning,125,41814863.00,5.1,50000000.00,2004
Exotica,103,5132222.00,7.2,2000000.00,1994
Extract,92,10814185.00,6.2,8000000.00,2009
Extraordinary Measures,106,11854694.00,6.5,31000000.00,2010
Extreme Measures,118,17305211.00,6.1,38000000.00,1996
Extreme Movie,76,,3.8,,2008
Extreme Ops,93,4835968.00,4.5,40000000.00,2002
Extremely Loud & Incredibly Close,129,31836745.00,6.9,40000000.00,2011
Eye for an Eye,101,53146000.00,6.1,20000000.00,1996
Eye of the Beholder,109,16459004.00,4.9,15000000.00,1999
Eye of the Dolphin,100,71904.00,5.7,2500000.00,2006
Eye See You,96,,5.3,55000000.00,2002
Eyes Wide Shut,159,55637680.00,7.3,65000000.00,1999
F.I.S.T.,145,,6.4,11000000.00,1978
Fabled,84,25918.00,5.8,,2002
Face/Off,138,112225777.00,7.3,80000000.00,1997
Facing the Giants,111,10174663.00,6.7,100000.00,2006
Factory Girl,99,1654367.00,6.4,7000000.00,2006
Fahrenheit 9/11,122,119078393.00,7.5,6000000.00,2004
Failure to Launch,95,88658172.00,5.6,50000000.00,2006
Fair Game,108,9528092.00,6.8,22000000.00,2010
Faith Connections,115,,7,550000.00,2013
Faith Like Potatoes,116,,6.9,10000000.00,2006
Faithful,91,2104000.00,5.9,13000000.00,1996
Falcon Rising,103,8691.00,5.8,4500000.00,2014
Fame,123,22452209.00,5,18000000.00,2009
Family Plot,120,,6.8,4490375.00,1976
Fantasia 2000,74,60507228.00,7.3,80000000.00,1999
Fantasia,120,76400000.00,7.8,2280000.00,1940
Fantastic 4: Rise of the Silver Surfer,92,131920333.00,5.6,130000000.00,2007
Fantastic Four,100,56114221.00,4.3,120000000.00,2015
Fantastic Four,100,56114221.00,4.3,120000000.00,2015
Fantastic Mr. Fox,87,20999103.00,7.8,40000000.00,2009
Far from Heaven,107,15854988.00,7.4,13500000.00,2002
Far from Men,101,,7.3,7700000.00,2014
Farce of the Penguins,80,,4.2,,2006
Fargo,53,,9,,
Fascination,103,16066.00,3.3,5000000.00,2004
Fast Five,132,209805005.00,7.3,125000000.00,2011
Fast Times at Ridgemont High,90,,7.2,4500000.00,1982
Faster,98,23225911.00,6.5,24000000.00,2010
Fat Albert,93,48114556.00,4.3,26000000.00,2004
"Fat, Sick & Nearly Dead",97,,7.6,2500000.00,2010
Fatal Attraction,119,156645693.00,6.9,14000000.00,1987
Fateless,134,195888.00,7.1,2500000000.00,2005
Fear and Loathing in Las Vegas,118,10562387.00,7.7,18500000.00,1998
Fear Clinic,95,,5.2,1000000.00,2015
Feardotcom,101,13208023.00,3.3,42000000.00,2002
Feast,95,,6.4,3200000.00,2005
Felicia's Journey,116,819852.00,7,,1999
Femme Fatale,114,6592103.00,6.3,35000000.00,2002
Fetching Cody,87,,6.8,1500000.00,2005
Fever Pitch,104,42071069.00,6.2,30000000.00,2005
Fiddler on the Roof,181,50000000.00,8,9000000.00,1971
Fido,93,298110.00,6.8,8000000.00,2006
Fifty Dead Men Walking,117,,6.9,6000000.00,2008
Fifty Shades of Black,92,11675178.00,3.5,5000000.00,2016
Fifty Shades of Grey,129,166147885.00,4.1,40000000.00,2015
Fight Club,151,37023395.00,8.8,63000000.00,1999
Fight to the Finish,94,,4,150000.00,2016
Fight Valley,90,,5,27000000.00,2016
Fighting Tommy Riley,109,5199.00,6.6,200000.00,2004
Filly Brown,80,2833383.00,5.7,427000.00,2012
Final Destination 2,90,46455802.00,6.2,26000000.00,2003
Final Destination 3,86,54098051.00,5.8,25000000.00,2006
Final Destination 5,92,42575718.00,5.9,40000000.00,2011
Final Destination,98,53302314.00,6.7,23000000.00,2000
Final Fantasy: The Spirits Within,106,32131830.00,6.4,137000000.00,2001
Find Me Guilty,125,1172769.00,7.1,13000000.00,2006
Finding Forrester,136,51768623.00,7.3,43000000.00,2000
Finding Nemo,100,380838870.00,8.2,94000000.00,2003
Finding Neverland,101,51676606.00,7.8,25000000.00,2004
Finishing the Game: The Search for a New Bruce Lee,84,52850.00,6.2,500000.00,2007
Fired Up,30,,6.7,,
Firefox,136,46700000.00,5.9,21000000.00,1982
Fireproof,122,33451479.00,6.5,500000.00,2008
Firestarter,114,15100000.00,6,15000000.00,1984
Firestorm,118,,6.2,,2013
Firewall,105,48745150.00,5.8,50000000.00,2006
First Blood,93,,7.7,14000000.00,1982
First Blood,93,,7.7,14000000.00,1982
First Knight,134,37600435.00,5.9,55000000.00,1995
"First Love, Last Rites",94,40542.00,5.5,300000.00,1997
Fish Tank,123,373060.00,7.3,,2009
Fiza,167,610991.00,6.2,1000000.00,2000
Flags of Our Fathers,135,33574332.00,7.1,90000000.00,2006
Flame and Citron,45,145109.00,7.3,45000000.00,2008
Flash Gordon,111,,6.4,20000000.00,1980
Flash of Genius,119,4234040.00,7,20000000.00,2008
Flashdance,95,94900000.00,6.1,4000000.00,1983
Flatliners,115,61490000.00,6.6,26000000.00,1990
Flawless,112,4485485.00,6.4,15000000.00,1999
Fled,105,17100000.00,5.3,25000000.00,1996
Flicka,95,20998709.00,6.2,15000000.00,2006
Flight of the Intruder,115,14587732.00,5.7,35000000.00,1991
Flight of the Phoenix,113,21009180.00,6.1,45000000.00,2004
Flight,138,93749203.00,7.3,31000000.00,2012
Flightplan,98,89706988.00,6.2,55000000.00,2005
Flipped,90,1752214.00,7.7,14000000.00,2010
Flipper,95,20047715.00,5.2,25530000.00,1996
Flirting with Disaster,92,14891000.00,6.8,7000000.00,1996
Florence Foster Jenkins,110,,7.1,29000000.00,2016
Flubber,90,92969824.00,5.2,80000000.00,1997
Flushed Away,85,64459316.00,6.7,149000000.00,2006
Flyboys,140,13082288.00,6.6,60000000.00,2006
Flying By,90,,4.5,,2009
Flywheel,120,,6.9,20000.00,2003
Focus,105,53846915.00,6.6,50100000.00,2015
Food Chains,83,,7.1,913000.00,2014
"Food, Inc.",94,4417124.00,7.9,,2008
Foodfight!,91,,1.7,65000000.00,2012
Foolish,84,6026908.00,4.3,2000000.00,1999
Fool's Gold,112,70224196.00,5.6,70000000.00,2008
Footloose,107,80000000.00,6.5,8200000.00,1984
Footloose,107,80000000.00,6.5,8200000.00,1984
"For a Good Time, Call...",88,1243961.00,6,850000.00,2012
For Colored Girls,133,37721949.00,6,,2010
For Greater Glory: The True Story of Cristiada,145,5669081.00,6.6,10818775.00,2012
For Love of the Game,137,35168395.00,6.5,50000000.00,1999
For Your Consideration,86,5542025.00,6.3,12000000.00,2006
For Your Eyes Only,127,62300000.00,6.8,28000000.00,1981
Force 10 from Navarone,126,,6.3,5000000.00,1978
Forget Me Not,103,,5.2,1300000.00,2009
Forgetting Sarah Marshall,118,62877175.00,7.2,30000000.00,2008
Formula 51,93,5204007.00,6.3,28000000.00,2001
Forrest Gump,142,329691196.00,8.8,55000000.00,1994
Forsaken,90,,6.3,11000000.00,2015
Forsaken,90,,6.3,11000000.00,2015
Fort McCoy,100,73678.00,5.9,3000000.00,2011
Fortress,95,6739141.00,5.9,8000000.00,1992
Forty Shades of Blue,108,,6,1500000.00,2005
Four Brothers,109,74484168.00,6.9,45000000.00,2005
Four Christmases,88,120136047.00,5.6,80000000.00,2008
Four Lions,97,304137.00,7.3,,2010
Four Rooms,110,4301331.00,6.7,4000000.00,1995
Four Single Fathers,100,,5.1,3000000.00,2009
Four Weddings and a Funeral,117,52700832.00,7.1,4500000.00,1994
Frailty,100,13103828.00,7.3,11000000.00,2001
Frances Ha,86,4063238.00,7.4,,2012
Frankenweenie,87,35287788.00,7,39000000.00,2012
Frat Party,90,,2.8,1000000.00,2009
Freakonomics,93,100675.00,6.4,3000000.00,2010
Freaky Deaky,90,,6.5,6000000.00,2012
Freaky Friday,97,110222438.00,6.1,26000000.00,2003
Freddy Got Fingered,87,14249005.00,4.5,15000000.00,2001
Freddy vs. Jason,97,82163317.00,5.8,30000000.00,2003
Freddy's Dead: The Final Nightmare,93,34872293.00,4.9,8500000.00,1991
Free Birds,91,55747724.00,5.9,55000000.00,2013
Free State of Jones,139,20389967.00,6.7,50000000.00,2016
Free Style,94,140987.00,4.2,,2008
Freedom Writers,123,36581633.00,7.5,21000000.00,2007
Freedom,94,,6.2,14500000.00,2014
Freeheld,103,532988.00,6.5,7000000.00,2015
Freeway,102,,6.9,3000000.00,1996
Freeze Frame,99,,6.4,2000000.00,2004
Frenzy,116,,7.5,2000000.00,1972
Frequency,118,44983704.00,7.3,31000000.00,2000
Frida,123,25776062.00,7.4,12000000.00,2002
Friday After Next,85,32983713.00,5.8,20000000.00,2002
Friday Night Lights,44,,8.7,,
Friday the 13th Part 2,87,19100000.00,6.1,1250000.00,1981
Friday the 13th Part III,91,36200000.00,5.7,4000000.00,1982
Friday the 13th Part VII: The New Blood,88,19170001.00,5.3,2800000.00,1988
Friday the 13th Part VIII: Jason Takes Manhattan,100,14343976.00,4.5,5000000.00,1989
Friday the 13th: A New Beginning,92,21300000.00,4.7,2200000.00,1985
Friday the 13th: The Final Chapter,97,32600000.00,5.9,1800000.00,1984
Friday,97,27900000.00,7.3,3500000.00,1995
Friends with Benefits,109,55802754.00,6.6,35000000.00,2011
Friends with Money,88,13367101.00,5.9,6500000.00,2006
Fright Night,106,18298649.00,6.4,30000000.00,2011
From a Whisper to a Scream,92,1400000.00,5.9,1100000.00,1987
From Dusk Till Dawn,108,25753840.00,7.3,19000000.00,1996
From Hell,122,31598308.00,6.8,35000000.00,2001
From Hell,122,31598308.00,6.8,35000000.00,2001
From Here to Eternity,118,,7.8,1650000.00,1953
From Justin to Kelly,90,4922166.00,2.1,12000000.00,2003
From Paris with Love,92,23324666.00,6.5,52000000.00,2010
From Russia with Love,115,24800000.00,7.5,2000000.00,1963
Frost/Nixon,122,18593156.00,7.7,35000000.00,2008
Frozen River,97,2508841.00,7.2,1000000.00,2008
Frozen,102,400736600.00,7.6,150000000.00,2013
Fruitvale Station,85,16097842.00,7.5,900000.00,2013
Fuel,112,173783.00,7.6,2500000.00,2008
Fugly,134,,4.7,,2014
Full Frontal,101,2506446.00,4.7,2000000.00,2002
Fun Size,86,9402410.00,5.4,14000000.00,2012
Fun with Dick and Jane,90,110332737.00,6.1,100000000.00,2005
Funny Games,111,1294640.00,6.5,15000000.00,2007
Funny Ha Ha,85,,6.4,,2002
Funny People,153,51814190.00,6.4,75000000.00,2009
Fur: An Imaginary Portrait of Diane Arbus,122,220914.00,6.5,16800000.00,2006
Furious 7,140,350034110.00,7.2,190000000.00,2015
Furry Vengeance,92,17596256.00,3.8,35000000.00,2010
Fury,134,85707116.00,7.6,68000000.00,2014
Futuro Beach,106,20262.00,6.1,4000000.00,2014
G.I. Jane,125,48154732.00,5.8,50000000.00,1997
G.I. Joe: Retaliation,122,122512052.00,5.8,130000000.00,2013
G.I. Joe: The Rise of Cobra,118,150167630.00,5.8,175000000.00,2009
Gabriela,99,,6.4,,1983
Galaxina,95,,3.4,,1980
Galaxy Quest,102,71423726.00,7.3,45000000.00,1999
Gamer,95,20488579.00,5.8,50000000.00,2009
"Gandhi, My Father",136,240425.00,7.4,,2007
Gandhi,240,,8.1,22000000.00,1982
Gangs of New York,216,77679638.00,7.5,100000000.00,2002
Gangster Squad,113,45996718.00,6.7,60000000.00,2013
Gangster's Paradise: Jerusalema,119,4958.00,7.8,2000000.00,2008
Garden State,102,26781723.00,7.6,2500000.00,2004
Garfield 2,86,28424210.00,5,,2006
Garfield,80,75367693.00,5,35000000.00,2004
Gattaca,106,12339633.00,7.8,36000000.00,1997
Gentleman's Agreement,118,,7.4,2000000.00,1947
Gentlemen Broncos,89,113155.00,6.1,,2009
George and the Dragon,93,,5.7,32000000.00,2004
George of the Jungle,92,105263257.00,5.4,55000000.00,1997
George Washington,90,241816.00,7.5,42000.00,2000
Georgia Rule,113,18882880.00,5.9,20000000.00,2007
Gerry,103,236266.00,6.2,3500000.00,2002
Get Carter,102,14967182.00,5.1,40000000.00,2000
Get Hard,107,90353764.00,6,40000000.00,2015
Get Him to the Greek,114,60923325.00,6.4,,2010
Get Low,100,9176553.00,7.1,7500000.00,2009
Get on the Bus,120,5731103.00,6.8,2400000.00,1996
Get on Up,139,30513940.00,6.9,30000000.00,2014
Get Over It,87,11560259.00,5.8,22000000.00,2001
Get Real,60,,7.3,,
Get Rich or Die Tryin',117,30981850.00,5,40000000.00,2005
Get Shorty,105,72077000.00,6.9,30250000.00,1995
Get Smart,110,130313314.00,6.5,80000000.00,2008
Getaway,90,10494494.00,4.4,18000000.00,2013
Gettysburg,271,10769960.00,7.7,25000000.00,1993
G-Force,88,119420252.00,5.1,150000000.00,2009
Ghost Dog: The Way of the Samurai,116,3300230.00,7.5,,1999
Ghost Hunters,60,,6.6,,
Ghost Rider: Spirit of Vengeance,96,51774002.00,4.3,57000000.00,2011
Ghost Rider,123,115802596.00,5.2,110000000.00,2007
Ghost Ship,91,30079316.00,5.5,35000000.00,2002
Ghost Town,102,13214030.00,6.7,20000000.00,2008
Ghost World,111,6200756.00,7.4,7000000.00,2001
Ghost,127,217631306.00,7,22000000.00,1990
Ghostbusters,116,118099659.00,5.5,144000000.00,2016
Ghostbusters,116,118099659.00,5.5,144000000.00,2016
Ghosts of Mars,98,8434601.00,4.9,28000000.00,2001
