movie,cast,Role
Ella Enchanted ,Anne Hathaway,actor
Elling ,J?rgen Langhelle,actor
Elmer Gantry ,Shirley Jones,actor
Elsa & Fred ,Chris Noth,actor
Elysium ,Matt Damon,actor
Elza ,Stana Roumillac,actor
Emma             ,Romola Garai,actor
Empire             ,Ta'Rhonda Jones,actor
Employee of the Month ,Dane Cook,actor
Enchanted ,Jeff Bennett,actor
End of Days ,CCH Pounder,actor
End of the Spear ,Chase Ellison,actor
End of Watch ,Jake Gyllenhaal,actor
Ender's Game ,Harrison Ford,actor
Endless Love ,Alex Pettyfer,actor
Enemy at the Gates ,Bob Hoskins,actor
Enemy of the State ,Will Smith,actor
Enough ,Bill Cobbs,actor
Enough Said ,Christopher Nicholas Smith,actor
Enter Nowhere ,Shaun Sipos,actor
Enter the Dangerous Mind ,Noel Gugliemi,actor
Enter the Void ,Paz de la Huerta,actor
Entourage             ,Debi Mazar,actor
Entrapment ,Will Patton,actor
Envy ,Amy Poehler,actor
Epic ,Josh Hutcherson,actor
Epic Movie ,David Carradine,actor
Equilibrium ,Christian Bale,actor
Eragon ,Djimon Hounsou,actor
Eraser ,Vanessa Williams,actor
Eraserhead ,Hal Landon Jr.,actor
Erin Brockovich ,Julia Roberts,actor
Ernest & Celestine ,Mackenzie Foy,actor
Escape from Alcatraz ,Clint Eastwood,actor
Escape from L.A. ,Steve Buscemi,actor
Escape from New York ,Donald Pleasence,actor
Escape from Planet Earth ,Brendan Fraser,actor
Escape from the Planet of the Apes ,Roddy McDowall,actor
Escape from Tomorrow ,Trey Loney,actor
Escape Plan ,Sylvester Stallone,actor
Escobar: Paradise Lost ,Josh Hutcherson,actor
Eternal Sunshine of the Spotless Mind ,Kate Winslet,actor
Eulogy ,Zooey Deschanel,actor
Eureka             ,Joe Morton,actor
EuroTrip ,Matt Damon,actor
Evan Almighty ,Jimmy Bennett,actor
Event Horizon ,Sean Pertwee,actor
Ever After: A Cinderella Story ,Anjelica Huston,actor
Everest ,Michael Kelly,actor
Everybody's Fine ,Robert De Niro,actor
Everyone Says I Love You ,Natasha Lyonne,actor
Everything Must Go ,Will Ferrell,actor
Everything Put Together ,Radha Mitchell,actor
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask ,Woody Allen,actor
Eve's Bayou ,Jurnee Smollett-Bell,actor
Evil Dead ,Lou Taylor Pucci,actor
Evil Dead II ,Ted Raimi,actor
Evita ,Andrea Corr,actor
Evolution ,Nissim Renard,actor
Ex Machina ,Elina Alminas,actor
Exam ,Colin Salmon,actor
Excessive Force ,Burt Young,actor
Executive Decision ,Oliver Platt,actor
Exeter ,Ashley Tramonte,actor
Exiled ,Simon Yam,actor
eXistenZ ,Jennifer Jason Leigh,actor
Exit Wounds ,Michael Jai White,actor
Exodus: Gods and Kings ,Christian Bale,actor
Exodus: Gods and Kings ,Christian Bale,actor
Exorcist II: The Heretic ,Linda Blair,actor
Exorcist: The Beginning ,James D'Arcy,actor
Exotica ,Bruce Greenwood,actor
Extract ,J.K. Simmons,actor
Extraordinary Measures ,Harrison Ford,actor
Extreme Measures ,J.K. Simmons,actor
Extreme Movie ,Rich Ceraulo,actor
Extreme Ops ,Rufus Sewell,actor
Extremely Loud & Incredibly Close ,Tom Hanks,actor
Eye for an Eye ,Joe Mantegna,actor
Eye of the Beholder ,Jason Priestley,actor
Eye of the Dolphin ,Katharine Ross,actor
Eye See You ,Sylvester Stallone,actor
Eyes Wide Shut ,Tom Cruise,actor
F.I.S.T. ,Sylvester Stallone,actor
Fabled ,R. Brandon Johnson,actor
Face/Off ,Nicolas Cage,actor
Facing the Giants ,Alex Kendrick,actor
Factory Girl ,Hayden Christensen,actor
Fahrenheit 9/11 ,Osama bin Laden,actor
Failure to Launch ,Bradley Cooper,actor
Fair Game ,Naomi Watts,actor
Faith Connections ,Bhole Baba,actor
Faith Like Potatoes ,Sean Cameron Michael,actor
Faithful ,Chazz Palminteri,actor
Falcon Rising ,Michael Jai White,actor
Fame ,Kelsey Grammer,actor
Family Plot ,Ed Lauter,actor
Fantasia ,Leopold Stokowski,actor
Fantasia 2000 ,Quincy Jones,actor
Fantastic 4: Rise of the Silver Surfer ,Chris Evans,actor
Fantastic Four ,Tim Blake Nelson,actor
Fantastic Four ,Tim Blake Nelson,actor
Fantastic Mr. Fox ,Bill Murray,actor
Far from Heaven ,Dennis Quaid,actor
Far from Men ,Viggo Mortensen,actor
Farce of the Penguins ,Alyson Hannigan,actor
Fargo             ,Kirsten Dunst,actor
Fascination ,Adam Garcia,actor
Fast Five ,Paul Walker,actor
Fast Times at Ridgemont High ,Jennifer Jason Leigh,actor
Faster ,Dwayne Johnson,actor
Fat Albert ,Dania Ramirez,actor
"Fat, Sick & Nearly Dead ",Joe Cross,actor
Fatal Attraction ,Fred Gwynne,actor
Fateless ,Marcell Nagy,actor
Fear and Loathing in Las Vegas ,Johnny Depp,actor
Fear Clinic ,Angelina Armani,actor
Feardotcom ,Natascha McElhone,actor
Feast ,Krista Allen,actor
Felicia's Journey ,Bob Hoskins,actor
Femme Fatale ,Peter Coyote,actor
Fetching Cody ,Nicole Mu?oz,actor
Fever Pitch ,Jimmy Fallon,actor
Fiddler on the Roof ,Topol,actor
Fido ,Alexia Fast,actor
Fifty Dead Men Walking ,Jim Sturgess,actor
Fifty Shades of Black ,Fred Willard,actor
Fifty Shades of Grey ,Jennifer Ehle,actor
Fight Club ,Brad Pitt,actor
Fight to the Finish ,Jennifer Hale,actor
Fight Valley ,Kari J. Kramer,actor
Fighting Tommy Riley ,Don Wallace,actor
Filly Brown ,Noel Gugliemi,actor
Final Destination ,Daniel Roebuck,actor
Final Destination 2 ,Sarah Carter,actor
Final Destination 3 ,Chelan Simmons,actor
Final Destination 5 ,Emma Bell,actor
Final Fantasy: The Spirits Within ,Steve Buscemi,actor
Find Me Guilty ,Peter Dinklage,actor
Finding Forrester ,F. Murray Abraham,actor
Finding Nemo ,Alexander Gould,actor
Finding Neverland ,Johnny Depp,actor
Finishing the Game: The Search for a New Bruce Lee ,Monique Gabriela Curnen,actor
Fired Up             ,Leah Remini,actor
Firefox ,Clint Eastwood,actor
Fireproof ,Kirk Cameron,actor
Firestarter ,Heather Locklear,actor
Firestorm ,Andy Lau,actor
Firewall ,Jimmy Bennett,actor
First Blood ,Sylvester Stallone,actor
First Blood ,Sylvester Stallone,actor
First Knight ,Julia Ormond,actor
"First Love, Last Rites ",Robert John Burke,actor
Fish Tank ,Michael Fassbender,actor
Fiza ,Karisma Kapoor,actor
Flags of Our Fathers ,Paul Walker,actor
Flame and Citron ,Lars Mikkelsen,actor
Flash Gordon ,Brian Blessed,actor
Flash of Genius ,Dylan Authors,actor
Flashdance ,Michael Nouri,actor
Flatliners ,Julia Roberts,actor
Flawless ,Robert De Niro,actor
Fled ,Salma Hayek,actor
Flicka ,Alison Lohman,actor
Flight ,Denzel Washington,actor
Flight of the Intruder ,Rosanna Arquette,actor
Flight of the Phoenix ,Dennis Quaid,actor
Flightplan ,Erika Christensen,actor
Flipped ,Madeline Carroll,actor
Flipper ,Paul Hogan,actor
Flirting with Disaster ,Lily Tomlin,actor
Florence Foster Jenkins ,Meryl Streep,actor
Flubber ,Robin Williams,actor
Flushed Away ,Hugh Jackman,actor
Flyboys ,James Franco,actor
Flying By ,Heather Locklear,actor
Flywheel ,Shannen Fields,actor
Focus ,Will Smith,actor
Food Chains ,Alma Martinez,actor
"Food, Inc. ",Michael Pollan,actor
Foodfight! ,Jerry Stiller,actor
Foolish ,Eddie Griffin,actor
Fool's Gold ,Matthew McConaughey,actor
Footloose ,Dianne Wiest,actor
Footloose ,Dianne Wiest,actor
"For a Good Time, Call... ",James Wolk,actor
For Colored Girls ,Omari Hardwick,actor
For Greater Glory: The True Story of Cristiada ,Santiago Cabrera,actor
For Love of the Game ,J.K. Simmons,actor
For Your Consideration ,John Michael Higgins,actor
For Your Eyes Only ,Julian Glover,actor
Force 10 from Navarone ,Harrison Ford,actor
Forget Me Not ,Bella Thorne,actor
Forgetting Sarah Marshall ,Mila Kunis,actor
Formula 51 ,Meat Loaf,actor
Forrest Gump ,Tom Hanks,actor
Forsaken ,Demi Moore,actor
Forsaken ,Demi Moore,actor
Fort McCoy ,Johnny Pacar,actor
Fortress ,Christopher Lambert,actor
Forty Shades of Blue ,Rip Torn,actor
Four Brothers ,Josh Charles,actor
Four Christmases ,Jon Favreau,actor
Four Lions ,Kayvan Novak,actor
Four Rooms ,Salma Hayek,actor
Four Single Fathers ,Stephanie Szostak,actor
Four Weddings and a Funeral ,Kristin Scott Thomas,actor
Frailty ,Matthew McConaughey,actor
Frances Ha ,Greta Gerwig,actor
Frankenweenie ,Martin Landau,actor
Frat Party ,Randy Wayne,actor
Freakonomics ,Greg Crowe,actor
Freaky Deaky ,Billy Burke,actor
Freaky Friday ,Jamie Lee Curtis,actor
Freddy Got Fingered ,Rip Torn,actor
Freddy vs. Jason ,Katharine Isabelle,actor
Freddy's Dead: The Final Nightmare ,Johnny Depp,actor
Free Birds ,Amy Poehler,actor
Free State of Jones ,Matthew McConaughey,actor
Free Style ,Madison Pettis,actor
Freedom ,Sharon Leal,actor
Freedom Writers ,Hunter Parrish,actor
Freeheld ,Steve Carell,actor
Freeway ,Bokeem Woodbine,actor
Freeze Frame ,Colin Salmon,actor
Frenzy ,Bernard Cribbins,actor
Frequency ,Dennis Quaid,actor
Frida ,Salma Hayek,actor
Friday ,Nia Long,actor
Friday After Next ,John Witherspoon,actor
Friday Night Lights             ,Zach Gilford,actor
Friday the 13th Part 2 ,Betsy Palmer,actor
Friday the 13th Part III ,Richard Brooker,actor
Friday the 13th Part VII: The New Blood ,Kane Hodder,actor
Friday the 13th Part VIII: Jason Takes Manhattan ,Kane Hodder,actor
Friday the 13th: A New Beginning ,Tiffany Helm,actor
Friday the 13th: The Final Chapter ,Judie Aronson,actor
Friends with Benefits ,Mila Kunis,actor
Friends with Money ,Greg Germann,actor
Fright Night ,Grace Phipps,actor
From a Whisper to a Scream ,Terry Kiser,actor
From Dusk Till Dawn ,Quentin Tarantino,actor
From Hell ,Johnny Depp,actor
From Hell ,Johnny Depp,actor
From Here to Eternity ,Montgomery Clift,actor
From Justin to Kelly ,Anika Noni Rose,actor
From Paris with Love ,Kasia Smutniak,actor
From Russia with Love ,Robert Shaw,actor
Frost/Nixon ,Toby Jones,actor
Frozen ,Josh Gad,actor
Frozen River ,Charlie McDermott,actor
Fruitvale Station ,Ahna O'Reilly,actor
Fuel ,Larry David,actor
Fugly ,Jimmy Shergill,actor
Full Frontal ,Julia Roberts,actor
Fun Size ,Thomas McDonell,actor
Fun with Dick and Jane ,John Michael Higgins,actor
Funny Games ,Naomi Watts,actor
Funny Ha Ha ,Andrew Bujalski,actor
Funny People ,Adam Sandler,actor
Fur: An Imaginary Portrait of Diane Arbus ,Robert Downey Jr.,actor
Furious 7 ,Jason Statham,actor
Furry Vengeance ,Brendan Fraser,actor
Fury ,Brad Pitt,actor
Futuro Beach ,Wagner Moura,actor
G.I. Jane ,Viggo Mortensen,actor
G.I. Joe: Retaliation ,Channing Tatum,actor
G.I. Joe: The Rise of Cobra ,Joseph Gordon-Levitt,actor
Gabriela ,Marcello Mastroianni,actor
Galaxina ,Stephen Macht,actor
Galaxy Quest ,Alan Rickman,actor
Gamer ,Gerard Butler,actor
Gandhi ,Candice Bergen,actor
"Gandhi, My Father ",Akshaye Khanna,actor
Gangs of New York ,Leonardo DiCaprio,actor
Gangster Squad ,Ryan Gosling,actor
Gangster's Paradise: Jerusalema ,Rapulana Seiphemo,actor
Garden State ,Armando Riesco,actor
Garfield ,Bill Murray,actor
Garfield 2 ,Bill Murray,actor
Gattaca ,Blair Underwood,actor
Gentleman's Agreement ,Dean Stockwell,actor
Gentlemen Broncos ,Jizelle Jade,actor
George and the Dragon ,Joan Plowright,actor
George of the Jungle ,Brendan Fraser,actor
George Washington ,Paul Schneider,actor
Georgia Rule ,Hector Elizondo,actor
Gerry ,Matt Damon,actor
Get Carter ,Sylvester Stallone,actor
Get Hard ,Will Ferrell,actor
Get Him to the Greek ,Pink,actor
Get Low ,Bill Murray,actor
Get on the Bus ,Bernie Mac,actor
Get on Up ,Tika Sumpter,actor
Get Over It ,Mila Kunis,actor
Get Real             ,Anne Hathaway,actor
Get Rich or Die Tryin' ,50 Cent,actor
Get Shorty ,Delroy Lindo,actor
Get Smart ,Bill Murray,actor
Getaway ,Rebecca Budig,actor
Gettysburg ,Tom Berenger,actor
G-Force ,Kelli Garner,actor
Ghost ,Demi Moore,actor
Ghost Dog: The Way of the Samurai ,Henry Silva,actor
Ghost Hunters             ,Amy Bruni,actor
Ghost Rider ,Nicolas Cage,actor
Ghost Rider: Spirit of Vengeance ,Nicolas Cage,actor
Ghost Ship ,Isaiah Washington,actor
Ghost Town ,Aasif Mandvi,actor
Ghost World ,Scarlett Johansson,actor
Ghostbusters ,Ed Begley Jr.,actor
Ghostbusters ,Ed Begley Jr.,actor
Ghosts of Mars ,Jason Statham,actor
Ghosts of Mississippi ,Alexa PenaVega,actor
Gigli ,Todd Giebenhain,actor
Girl 6 ,Michael Imperioli,actor
Girl House ,Camren Bicondova,actor
Girl with a Pearl Earring ,Scarlett Johansson,actor
"Girl, Interrupted ",Angelina Jolie Pitt,actor
Girls Gone Dead ,Vincent Chimato,actor
Give Me Shelter ,Esai Morales,actor
Gladiator ,Djimon Hounsou,actor
Glee: The 3D Concert Movie ,Lea Michele,actor
Glengarry Glen Ross ,Kevin Spacey,actor
Glitter ,Mariah Carey,actor
Glory ,Denzel Washington,actor
Glory ,Denzel Washington,actor
Glory Road ,Mehcad Brooks,actor
Go ,Sarah Polley,actor
Go for It! ,Jossara Jinaro,actor
Goal! The Dream Begins ,Sean Pertwee,actor
Goddess of Love ,Rachel Alig,actor
Gods and Generals ,Billy Campbell,actor
Gods and Monsters ,Brendan Fraser,actor
God's Not Dead 2 ,Benjamin A. Onyango,actor
Gods of Egypt ,Gerard Butler,actor
Godsend ,Robert De Niro,actor
Godzilla 2000 ,Hiroshi Abe,actor
Godzilla Resurgence ,Mark Chinnery,actor
Godzilla Resurgence ,Mark Chinnery,actor
Going the Distance ,Rob Riggle,actor
GoldenEye ,Izabella Scorupco,actor
Goldfinger ,Honor Blackman,actor
Gomorrah             ,Maria Pia Calzone,actor
Gone Girl ,Patrick Fugit,actor
Gone in Sixty Seconds ,Nicolas Cage,actor
Gone with the Wind ,Hattie McDaniel,actor
"Gone, Baby, Gone             ",Nicole 'Snooki' Polizzi,actor
Good ,Viggo Mortensen,actor
Good Boy! ,Liam Aiken,actor
Good Bye Lenin! ,Florian Lukas,actor
Good Deeds ,Eddie Cibrian,actor
Good Dick ,Bryce Dallas Howard,actor
Good Intentions ,Elaine Hendrix,actor
Good Kill ,Bruce Greenwood,actor
Good Luck Chuck ,Dane Cook,actor
"Good Morning, Vietnam ",Robin Williams,actor
"Good Night, and Good Luck. ",Robert Downey Jr.,actor
Good Will Hunting ,Robin Williams,actor
Goodfellas ,Robert De Niro,actor
Goosebumps ,Odeya Rush,actor
Goosebumps ,Odeya Rush,actor
Gory Gory Hallelujah ,Tony Doupe,actor
Gosford Park ,Kristin Scott Thomas,actor
Gossip ,Norman Reedus,actor
Gothika ,Robert Downey Jr.,actor
Grabbers ,Russell Tovey,actor
Grace of Monaco ,Paz Vega,actor
Grace Unplugged ,Shawnee Smith,actor
Gracie ,Emma Bell,actor
Graduation Day ,Linnea Quigley,actor
Gran Torino ,Clint Eastwood,actor
Grand Theft Parsons ,Marley Shelton,actor
Grandma's Boy ,Linda Cardellini,actor
Grave Encounters ,Mackenzie Gray,actor
Gravity ,Phaldut Sharma,actor
Grease ,Olivia Newton-John,actor
Green Lantern ,Ryan Reynolds,actor
Green Room ,Alia Shawkat,actor
Green Street 3: Never Back Down ,Spencer Wilding,actor
Green Zone ,Matt Damon,actor
Gremlins ,Phoebe Cates,actor
Gremlins 2: The New Batch ,Christopher Lee,actor
Gridiron Gang ,Dwayne Johnson,actor
Griff the Invisible ,Maeve Dermody,actor
Grindhouse ,Quentin Tarantino,actor
Groove ,Rachel True,actor
Grosse Pointe Blank ,Minnie Driver,actor
Groundhog Day ,Bill Murray,actor
Growing Up Smith ,Brighton Sharbino,actor
Grown Ups ,Steve Buscemi,actor
Grown Ups 2 ,Steve Buscemi,actor
Grudge Match ,Robert De Niro,actor
Guardians of the Galaxy ,Bradley Cooper,actor
Guess Who ,Bernie Mac,actor
Guiana 1838 ,Kumar Gaurav,actor
Gulliver's Travels ,James Corden,actor
Gun Shy ,Liam Neeson,actor
Gunless ,Tyler Mane,actor
H. ,Paul Hickert,actor
Hachi: A Dog's Tale ,Cary-Hiroyuki Tagawa,actor
Hackers ,Angelina Jolie Pitt,actor
"Hail, Caesar! ",Scarlett Johansson,actor
Hairspray ,Jerry Stiller,actor
Half Baked ,Dave Chappelle,actor
Half Nelson ,Ryan Gosling,actor
Half Past Dead ,Claudia Christian,actor
Hall Pass ,Jenna Fischer,actor
Halloween ,Jamie Lee Curtis,actor
Halloween ,Jamie Lee Curtis,actor
Halloween ,Jamie Lee Curtis,actor
Halloween 4: The Return of Michael Myers ,Donald Pleasence,actor
Halloween 5 ,Donald Pleasence,actor
Halloween II ,Scout Taylor-Compton,actor
Halloween II ,Scout Taylor-Compton,actor
Halloween III: Season of the Witch ,Tom Atkins,actor
Halloween: Resurrection ,Jamie Lee Curtis,actor
Halloween: The Curse of Michael Myers ,Donald Pleasence,actor
Hamlet ,Julie Christie,actor
Hamlet ,Julie Christie,actor
Hamlet 2 ,Steve Coogan,actor
Hancock ,Will Smith,actor
Hands of Stone ,Robert De Niro,actor
Hang 'Em High ,Clint Eastwood,actor
Hanging Up ,Adam Arkin,actor
Hanna ,Jessica Barden,actor
Hannah Montana: The Movie ,Emily Osment,actor
Hannibal             ,Caroline Dhavernas,actor
Hannibal Rising ,Li Gong,actor
Hansel & Gretel Get Baked ,Molly C. Quinn,actor
Hansel & Gretel: Witch Hunters ,Jeremy Renner,actor
Happily N'Ever After ,Sarah Michelle Gellar,actor
Happiness ,Philip Seymour Hoffman,actor
Happy Christmas ,Anna Kendrick,actor
Happy Feet ,Robin Williams,actor
Happy Feet 2 ,Robin Williams,actor
Happy Gilmore ,Adam Sandler,actor
Happy Valley             ,Shirley Henderson,actor
"Happy, Texas ",Ally Walker,actor
Hard Candy ,Odessa Rae,actor
Hard Rain ,Morgan Freeman,actor
Hard to Be a God ,Leonid Yarmolnik,actor
Hardball ,Keanu Reeves,actor
Hardflip ,Matthew Ziff,actor
Harley Davidson and the Marlboro Man ,Vanessa Williams,actor
Harlock: Space Pirate ,Shun Oguri,actor
Harold & Kumar Escape from Guantanamo Bay ,Danneel Ackles,actor
Harold & Kumar Go to White Castle ,Ethan Embry,actor
Harper ,Janet Leigh,actor
Harriet the Spy ,Gregory Smith,actor
Harrison Montgomery ,Martin Landau,actor
Harry Brown ,Joseph Gilgun,actor
Harry Potter and the Chamber of Secrets ,Daniel Radcliffe,actor
Harry Potter and the Deathly Hallows: Part I ,Rupert Grint,actor
Harry Potter and the Deathly Hallows: Part II ,Rupert Grint,actor
Harry Potter and the Goblet of Fire ,Robert Pattinson,actor
Harry Potter and the Half-Blood Prince ,Alan Rickman,actor
Harry Potter and the Order of the Phoenix ,Robert Pattinson,actor
Harry Potter and the Prisoner of Azkaban ,Daniel Radcliffe,actor
Harry Potter and the Sorcerer's Stone ,Daniel Radcliffe,actor
Harsh Times ,J.K. Simmons,actor
Hart's War ,Bruce Willis,actor
Harvard Man ,Sarah Michelle Gellar,actor
Hatchet ,Joel David Moore,actor
Hav Plenty ,Hill Harper,actor
Hayride ,Richard Tyson,actor
Haywire ,Channing Tatum,actor
He Got Game ,Denzel Washington,actor
Head of State ,Bernie Mac,actor
Head Over Heels ,Monica Potter,actor
Headhunters ,Aksel Hennie,actor
Heartbeeps ,Bernadette Peters,actor
Heartbreakers ,Sarah Silverman,actor
Hearts in Atlantis ,Anthony Hopkins,actor
Heaven Is for Real ,Jacob Vargas,actor
Heavenly Creatures ,Kate Winslet,actor
Heaven's Gate ,Jeff Bridges,actor
Heavy Metal ,John Vernon,actor
Hedwig and the Angry Inch ,John Cameron Mitchell,actor
Heist ,Robert De Niro,actor
Heist ,Robert De Niro,actor
Held Up ,Barry Corbin,actor
Heli ,Kenny Johnston,actor
Hellboy ,James Babson,actor
Hellboy II: The Golden Army ,Seth MacFarlane,actor
Hellraiser ,Andrew Robinson,actor
Hell's Angels ,Jean Harlow,actor
Henry & Me ,Chazz Palminteri,actor
Henry V ,Brian Blessed,actor
Her ,Scarlett Johansson,actor
Her Cry: La Llorona Investigation ,Nichole Ceballos,actor
Herbie Fully Loaded ,Scoot McNairy,actor
Hercules ,Dwayne Johnson,actor
Hercules ,Dwayne Johnson,actor
Here Comes the Boom ,Salma Hayek,actor
Here on Earth ,Bruce Greenwood,actor
Hereafter ,Matt Damon,actor
Hero ,Jet Li,actor
Hero ,Jet Li,actor
Heroes             ,Sendhil Ramamurthy,actor
Heroes of Dirt ,Joel Moody,actor
He's Just Not That Into You ,Carmen Perez,actor
Hesher ,Joseph Gordon-Levitt,actor
Hey Arnold! The Movie ,Jennifer Jason Leigh,actor
Hidalgo ,J.K. Simmons,actor
Hidden Away ,?lex Angulo,actor
Hide and Seek ,Robert De Niro,actor
High Anxiety ,Madeline Kahn,actor
High Crimes ,Morgan Freeman,actor
High Fidelity ,Drake Bell,actor
High Heels and Low Lifes ,Minnie Driver,actor
High Noon ,Gary Cooper,actor
High Plains Drifter ,Clint Eastwood,actor
High Road ,Joe Lo Truglio,actor
High School Musical ,Lucas Grabeel,actor
High School Musical 2 ,Lucas Grabeel,actor
High School Musical 3: Senior Year ,Lucas Grabeel,actor
High Tension ,C?cile De France,actor
Higher Ground ,Donna Murphy,actor
Highlander ,Christopher Lambert,actor
Highlander: Endgame ,Christopher Lambert,actor
Highlander: The Final Dimension ,Christopher Lambert,actor
Highway ,Jake Gyllenhaal,actor
History of the World: Part I ,Madeline Kahn,actor
History of the World: Part I ,Madeline Kahn,actor
Hit and Run ,Bradley Cooper,actor
Hit the Floor             ,Jodi Lyn O'Keefe,actor
Hitch ,Will Smith,actor
Hitman ,Henry Ian Cusick,actor
Hits ,Jason Ritter,actor
Hobo with a Shotgun ,Gregory Smith,actor
Hocus Pocus ,Vinessa Shaw,actor
Hoffa ,Frank Whaley,actor
Holes ,Tim Blake Nelson,actor
Hollow Man ,Greg Grunberg,actor
Hollywood Ending ,Woody Allen,actor
Hollywood Homicide ,Harrison Ford,actor
Hollywood Shuffle ,Robert Townsend,actor
Holy Man ,Kelly Preston,actor
Holy Motors ,Kylie Minogue,actor
Home ,Jim Parsons,actor
Home ,Jim Parsons,actor
Home ,Jim Parsons,actor
Home Alone ,Macaulay Culkin,actor
Home Alone 2: Lost in New York ,Macaulay Culkin,actor
Home for the Holidays ,Robert Downey Jr.,actor
Home Fries ,Catherine O'Hara,actor
Home Movies             ,Brendon Small,actor
Home on the Range ,Steve Buscemi,actor
Home Run ,Vivica A. Fox,actor
Homefront ,Jason Statham,actor
Honey ,Christian Monzon,actor
Hoodwinked Too! Hood vs. Evil ,Amy Poehler,actor
Hoodwinked! ,Anne Hathaway,actor
Hook ,Robin Williams,actor
Hoop Dreams ,William Gates,actor
Hoot ,Logan Lerman,actor
Hop ,Gary Cole,actor
Hope Floats ,Bill Cobbs,actor
Hope Springs ,Meryl Streep,actor
Horrible Bosses ,Kevin Spacey,actor
Horrible Bosses 2 ,Kevin Spacey,actor
Horse Camp ,Joshua Ray Bell,actor
Hostage ,Jimmy Bennett,actor
Hostel ,Jay Hernandez,actor
Hostel: Part II ,Jay Hernandez,actor
Hot Fuzz ,Bill Bailey,actor
Hot Pursuit ,Jim Gaffigan,actor
Hot Rod ,Sissy Spacek,actor
Hot Tub Time Machine ,Charlie McDermott,actor
Hot Tub Time Machine 2 ,Adam Scott,actor
Hotel for Dogs ,Don Cheadle,actor
Hotel Rwanda ,Don Cheadle,actor
Hotel Transylvania ,Steve Buscemi,actor
Hotel Transylvania 2 ,Steve Buscemi,actor
House at the End of the Drive ,Jessica Szohr,actor
House at the End of the Street ,Jennifer Lawrence,actor
House of 1000 Corpses ,Sid Haig,actor
House of D ,Robin Williams,actor
House of Flying Daggers ,Takeshi Kaneshiro,actor
House of Sand ,Fernanda Montenegro,actor
House of Sand and Fog ,Frances Fisher,actor
House of Wax ,Robert Ri'chard,actor
House of Wax ,Robert Ri'chard,actor
House on Haunted Hill ,Jeffrey Combs,actor
House Party 2 ,William Schallert,actor
Housebound ,Morgana O'Reilly,actor
Housefull ,Arjun Rampal,actor
How Do You Know ,Shelley Conn,actor
How Green Was My Valley ,Roddy McDowall,actor
How High ,Hector Elizondo,actor
How She Move ,DeRay Davis,actor
How Stella Got Her Groove Back ,Richard Lawson,actor
How the Grinch Stole Christmas ,Clint Howard,actor
How to Be a Player ,Bernie Mac,actor
How to Be Single ,Alison Brie,actor
How to Deal ,Dylan Baker,actor
How to Fall in Love ,Eric Mabius,actor
How to Lose a Guy in 10 Days ,Matthew McConaughey,actor
How to Lose Friends & Alienate People ,James Corden,actor
How to Train Your Dragon ,Gerard Butler,actor
How to Train Your Dragon 2 ,Gerard Butler,actor
Howard the Duck ,Lea Thompson,actor
Howards End ,Anthony Hopkins,actor
Howl's Moving Castle ,Christian Bale,actor
Hud ,Patricia Neal,actor
Hudson Hawk ,Bruce Willis,actor
Hugo ,Chlo? Grace Moretz,actor
Hulk ,Kevin Rankin,actor
Hum To Mohabbat Karega ,Karisma Kapoor,actor
Human Traffic ,Danny Dyer,actor
Hurricane Streets ,Edie Falco,actor
Hustle & Flow ,Isaac Hayes,actor
I Am Legend ,Will Smith,actor
I Am Love ,Flavio Parenti,actor
I Am Number Four ,Alex Pettyfer,actor
I Am Sam ,Dianne Wiest,actor
I Am Wrath ,Sam Trammell,actor
I Can Do Bad All by Myself ,Eric Mendenhall,actor
I Come with the Rain ,Takuya Kimura,actor
I Don't Know How She Does It ,Olivia Munn,actor
I Dreamed of Africa ,Liam Aiken,actor
I Got the Hook Up ,Joe Estevez,actor
I Heart Huckabees ,Naomi Watts,actor
I Hope They Serve Beer in Hell ,Geoff Stults,actor
I Know What You Did Last Summer ,Muse Watson,actor
I Love You Phillip Morris ,Dameon Clarke,actor
"I Love You, Beth Cooper ",Alan Ruck,actor
"I Love You, Don't Touch Me! ",Jack McGee,actor
"I Love You, Man ",J.K. Simmons,actor
I Love Your Work ,Judy Greer,actor
I Married a Strange Person! ,Charis Michelsen,actor
I Origins ,Steven Yeun,actor
I Served the King of England ,Julia Jentsch,actor
I Spit on Your Grave ,Sarah Butler,actor
I Spy ,Gary Cole,actor
I Still Know What You Did Last Summer ,Muse Watson,actor
I Think I Love My Wife ,Steve Buscemi,actor
I Want Someone to Eat Cheese With ,Jessy Schram,actor
I Want Your Money ,Bill Farmer,actor
"I, Frankenstein ",Caitlin Stasey,actor
"I, Robot ",Will Smith,actor
Ice Age ,Goran Visnjic,actor
Ice Age: Continental Drift ,Peter Dinklage,actor
Ice Age: Dawn of the Dinosaurs ,Denis Leary,actor
Ice Age: The Meltdown ,Denis Leary,actor
Ice Princess ,Connie Ray,actor
Ida ,Joanna Kulig,actor
Identity ,Clea DuVall,actor
Identity Thief ,Jon Favreau,actor
Idiocracy ,Anthony 'Citric' Campos,actor
Idle Hands ,Vivica A. Fox,actor
Idlewild ,Cicely Tyson,actor
If I Stay ,Chlo? Grace Moretz,actor
Igby Goes Down ,Kieran Culkin,actor
Iguana ,Everett McGill,actor
Illuminata ,Beverly D'Angelo,actor
I'm Not There. ,Christian Bale,actor
Imaginary Heroes ,Kip Pardue,actor
